25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
2.7571,0,0,0,0,0,2.3619,0,0,0,0,1.1571,5.3333,14.8951,0.5,0,1.3524,2.3238,0,0,0,0.7381,0,0,0.7524,0.1333,1.1619
0,0,0.6238,0,0,0,4.2857,0,0,0,0.3905,0,9.0332,16.0189,2.2905,0,1.2571,0,0,0,0,0,0,0,0,0.5952,0
0.2524,2.7666,0.7571,2.3666,1.6476,0,2.1333,0,0,0,0,1.8047,7.3904,16.2998,0.419,0.9048,0.7619,0,0,1.4333,1.9,1.9238,0,0.4952,3.6095,0.9714,0
1.6857,1.6238,0,1.3,1.119,0,4.1476,0,0.0048,0,0.9238,0.081,1.6857,8.7618,0.7524,0,2.0809,0,0,-0.0048,0,0.1048,0.4714,1.1,1.3952,0.7428,0
0,0.7524,0.7,0,0,1.4047,1.1428,0,0,2.0143,0.4238,0.2095,9.0761,11.2237,5.9761,0.3571,0.0048,0,0.8428,0,1.3524,0.1238,1.2619,0.5,2.6381,0.5571,0
0,0,0,0,0.6143,0.519,3.5333,0,0,0,0,0,5.7476,23.5521,1.0571,0.6667,0,0.7143,0,0,0,0,0,1.0381,3.3619,1.8095,0
0,0,1.3905,0,0,0,6.9237,1.2809,0.5905,0,0.119,0.4429,7.2428,12.157,6.0333,0,0.5905,0.4619,0.4667,0.6714,0,0,1.5,0,0.3476,1.719,1.7714
1.6619,1.1667,0,1.4047,0,0,1.6095,0,0,0.6476,1.8952,1.0476,6.8714,11.0523,0,1.0952,0,0,0,0,0.7857,0,0,0.9476,0,0,0
0,1.7666,0,0,3.1428,0,0.5048,0.7857,0,2.3571,0,1.6905,4.4809,14.4332,1.1619,0,1.4286,0,0,0.5762,0,0,0,3.5761,1.6143,0.9762,0
0,0,0,0,0.7238,-0.0238,5.7142,1.4286,0,1.7333,0,0,8.2475,13.5618,1.8333,0,0,0,0,1.1571,0,0,1.3667,3.6619,1.2095,0,0.3571
1.8095,1.6095,0,0,0,0,14.4332,0,1.2667,0,-0.0143,0.5762,15.2236,38.3805,1.5143,0.3429,8.4666,0,0.8381,0,1.6476,-0.0095,0,0,5.3714,5.9476,1.9524
0,1.6714,0,0,0,0,6.5856,0,0,0,0,0,31.5044,37.5139,3.5714,2.1047,1.4095,0.4381,2.9762,2.3904,3.3904,2.3809,-0.0381,0.6143,1.1762,0.8333,0
1.0952,0,0.9333,0.8238,1.5619,0,3.4762,0,0,0,0,0,3.1381,11.7237,0,0,0,0.4571,0,0.5714,1.1667,0,0,0.5238,0.719,2.2,1.8524
0.3476,1.8857,0,0,0.6714,0,0.7667,0,2.0952,0,-0.0095,0,8.3999,10.2523,2.4476,0.7619,0,0,0,0,0.5286,0.7,0,0,0.4048,0.5905,0
2.7523,0,0,0,0,1.7333,21.1379,0,0.4286,0,0,0,42.8043,53.647,17.7855,6.7571,5.8428,3.1809,0,-0.0143,1.2476,1.3143,0.4667,0,1.3333,14.1046,0
0,0.8667,0.6667,0,0,1.0524,0,0,0,0,0.7238,0,7.0094,8.8666,0.9857,1.0905,0.9857,1.6714,0,0.0381,0,0.8238,0,0,1.6381,0,2.4
0,1.519,0,0.6048,0,0,3.4809,0.7619,0,0,0,0,10.3237,13.6379,1.9857,2.9809,0.7762,1.4762,0.7667,0,0.4524,0,0,0,1.2428,1.0667,0
0,0,0,0.5905,0,1.5619,0,10.957,0,0,0,0,0.8048,10.2618,0,0,0,1.4762,-0.0762,0,0,2.0619,0,0,0.7143,7.9713,4.1571
0,0,0,0,0.8524,1.6095,1.3952,0,0,0,0,2.3476,9.8761,10.7237,2.4476,0,0,0.3048,0,0,0,0,2.5666,0.6524,3.0143,0.7667,0
0,2.7666,0.9381,0.4571,2.0047,0.8476,1.9143,0,0,0,0,0,7.1904,11.4189,0,2.5047,0,0.3571,0,1.8666,0,0.9571,0,2.4333,2.7762,1.9809,0
1.2952,0,0,0,0,0,0,0,4.5285,0,0,0,68.6564,119.8558,18.6903,4.4047,18.0569,8.2951,0.1952,0,2.5809,0,1.0571,0,1.2381,1.7047,1.3143
0,0,0,2.3857,0.1762,0,2.4,0,0,0.3857,0,0,5.6285,13.8237,0,3.6904,0.8428,0.6381,0,0,0,0,2.1333,1.9238,0.4619,2.0666,0.7428
1.1571,3.5619,0,0,2.0619,0,1.8095,0,0.5143,0,0,0,4.3285,7.4047,0,0,0,1.3476,0,0.2762,0.5095,0,0,0,2.7095,1.7143,0
0,2.1095,0,0,1.3428,0,0.9476,0.7428,0,0,0,0.4857,2.0666,8.6856,1.6952,0,0.5048,0.7905,0,0,0,0,0,1.2809,4.4999,9.938,1.0714
0,0,0,0,1.1428,0.2809,5.4095,1.0476,1.1047,0.8048,0,0.1714,0,9.1094,0,0,0,0.3238,0.5429,0.3714,0,0,1.9762,0.0095,1.4571,0,0.5714
4.3428,1.7666,0,1.519,0,0.4857,0,0,0,2.2524,0,0,0,6.4571,0,0,0,0,0,0,0,0.3381,0,2.3762,2.0476,1.1047,0
0,0,0.6714,0.3381,0,0,2.9523,0,0,0,0.4809,0,5.2571,9.2428,0,0,0,0,0,0.4619,0.8857,0,0,0.9,0.9714,0,0
0,0,0,1.0524,2.3666,1.719,3.0904,0,0.6714,0.4,1.0095,0,2.9238,21.2807,6.8999,0,1.6762,0,0,0,0,0,2.0952,1.3571,3.0381,0.6667,0
0,0,0,1.2095,0,0,5.738,0.2619,0,0,0,0.5333,5.8904,9.9332,0,1.6524,1.8905,0,0,1.5476,0.4857,0,0,0,0.319,0,0
0,0,1.0238,0.719,0,0,1.5524,0,0,0,0,2.0619,6.619,9.0285,1.9857,0,0.619,0,0,0,0,0.3286,0,0,2.2762,0,0.119
0,0,0,1.1809,1.6095,0,0,0,0.4524,0,0,0.4667,8.6237,13.6998,9.638,5.9904,4.5476,4.1476,7.1475,0,0.7952,1.1667,0,1.1428,0.9428,0,0.5905
2.219,1.2571,0.1619,0,0,0.4381,7.3475,0,0,0,0,0,36.7663,71.423,0.619,3.3714,0.7905,2.1619,0.3476,1.4809,0,0,0,0,0.2619,5.2999,0
1.1571,0,0.7619,0.6619,0,0,1.8143,0,0,0,0,0,3.0095,7.6094,0,0,0.8286,0,1.0238,0,0,0,0,4.7428,0.6333,0,1.2762
1.2571,0.7048,0,0,0.6714,0,14.576,0,0.6,0,0,0.4619,19.8093,28.0902,3.6571,1.7238,1.0286,0,0,0,0.3667,0,0.5905,2.9571,4.8571,3.0857,1
2.2762,4.5999,0,0.6333,0,0,10.9237,0.4809,0,4.6619,0,0,30.4473,36.6758,10.557,3.1238,1.0857,1.3,2.6143,0.0429,0,0,0,3.1904,0,4.6238,0
0,0,0,0,0.2524,0,2.2809,0,0,0,0,0,8.5047,28.8568,2.2476,1.0095,1.7286,0,2.0381,0.4571,0,-0.0143,0,1.1476,1.5,0.5857,0
0.7476,0,0,0,0,1.2857,5.3666,0,0,0.9428,0,0,5.0142,29.3901,0,0,0.3952,1.3381,1.0048,1.519,1.4286,0,0,0,4.7761,3.119,0.7571
0,1.1476,1.3476,0,0,0,9.0951,0,0,0,0.1571,0,30.0425,41.2614,6.0047,2.8238,2.7571,1.9476,0.8381,0,0,0,0.2809,1.8333,2.2428,2.6762,0
0,0,3.2381,0,1.0952,0,14.7522,0,0,0,0,0.6857,27.0806,34.5425,5.8666,0.7238,1.0619,0,0.5952,0,0,0,0,0,0,1.9762,0
0,1.3667,0.2048,0,0.8762,0,0,0.4143,0,0,1.0476,0,2.3476,24.2331,0.9667,1.3809,0,0,0,0.3,0,0.319,0,0.7381,1.2095,1.9333,0
0,0.7571,0,0.1429,0,0.6238,11.2999,0.7809,0,0,0,0,11.5046,21.7188,1.019,1.5381,0,0.9667,1.4952,0,1.3571,0.3809,0,0,0,0,0
0,2.1333,0.9381,0.7381,0,0,0,0,0,0,0,0,1.1286,10.3761,0,0,0,0,0,0,-0.0333,0,0,0,1.7143,0.6762,0
0,0.3381,0,-0.0286,0,0,1.6809,0,0.4667,0,3.8904,0,2.8619,10.6427,3.4381,1.0333,0.3476,0,0.6714,0,1.3524,0,0.2095,0,0,0,0.3667
0.3714,0.9809,0,0,1.6333,0,13.3951,2.7857,0,0.5857,0,0,22.2426,29.9378,7.9809,3.5047,3.0285,0.5714,0.2429,1.2095,0,1.8666,0,0.5429,0.4476,1.3667,0
0,0.6333,0,0.0571,0,1.5143,3.0285,0,0,0.6619,0,0,9.6189,15.4427,4.6999,0.7762,0,0,0,0,0,0,0,2.0571,2.5381,2.8714,0
0.5381,0.4667,0,0,1.0238,0,6.4523,0,2.2762,0,0.1714,0,18.3046,31.7854,2.6619,4.5047,1.6857,0,0.4667,0.2857,0,0,0,0.9619,4.6666,2.5524,0
0,0,0.7476,0,0,0,0,0.6524,0,0,0,0,2.9476,7.0523,0,0,0.3429,0.9333,0,0,1.2286,0.9238,1.0905,0,0,0,0.9333
0,0.6428,0.7428,0.9238,2.2285,2.6333,11.5094,0,0,0,4.1428,0,10.7427,24.7807,3.4523,2.6857,0.9095,2.2524,0,0,0,0.5333,0.3,2.6476,2.1809,0.2,1.4143
0,1.4857,0.0048,0,1.3095,0,17.0284,0,0.8952,2.7762,0,0,23.1902,32.5901,1.9905,1.5143,2.119,0,0,0,1.1381,0,0,2.3714,1.3143,0,0
0,1.1762,0,1.7476,3.8,0,6.8047,0,0,2.9047,0,0,21.2331,23.995,1.8809,2.5047,1.6809,1.1809,0,0,0,0,0,8.4809,7.8666,2.2381,0
0,1.4381,0,0,0,0.719,8.138,0,0,1.8905,0,0,15.7474,45.9233,4.9999,1.819,5.0476,0.0333,0.919,0,0,4.8523,1.419,0.3619,1.5952,1.719,1.0667
