RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
39,0,0,1.3905,0,0,0,6.9237,1.2809,0.5905,0,0.119,0.4429,7.2428,12.157,6.0333,0,0.5905,0.4619,0.4667,0.6714,0,0,1.5,0,0.3476,1.719,1.7714
40,1.6619,1.1667,0,1.4047,0,0,1.6095,0,0,0.6476,1.8952,1.0476,6.8714,11.0523,0,1.0952,0,0,0,0,0.7857,0,0,0.9476,0,0,0
41,0,1.7666,0,0,3.1428,0,0.5048,0.7857,0,2.3571,0,1.6905,4.4809,14.4332,1.1619,0,1.4286,0,0,0.5762,0,0,0,3.5761,1.6143,0.9762,0
42,0,0,0,0,0.7238,-0.0238,5.7142,1.4286,0,1.7333,0,0,8.2475,13.5618,1.8333,0,0,0,0,1.1571,0,0,1.3667,3.6619,1.2095,0,0.3571
43,1.8095,1.6095,0,0,0,0,14.4332,0,1.2667,0,-0.0143,0.5762,15.2236,38.3805,1.5143,0.3429,8.4666,0,0.8381,0,1.6476,-0.0095,0,0,5.3714,5.9476,1.9524
44,0,1.6714,0,0,0,0,6.5856,0,0,0,0,0,31.5044,37.5139,3.5714,2.1047,1.4095,0.4381,2.9762,2.3904,3.3904,2.3809,-0.0381,0.6143,1.1762,0.8333,0
45,1.0952,0,0.9333,0.8238,1.5619,0,3.4762,0,0,0,0,0,3.1381,11.7237,0,0,0,0.4571,0,0.5714,1.1667,0,0,0.5238,0.719,2.2,1.8524
46,0.3476,1.8857,0,0,0.6714,0,0.7667,0,2.0952,0,-0.0095,0,8.3999,10.2523,2.4476,0.7619,0,0,0,0,0.5286,0.7,0,0,0.4048,0.5905,0
47,2.7523,0,0,0,0,1.7333,21.1379,0,0.4286,0,0,0,42.8043,53.647,17.7855,6.7571,5.8428,3.1809,0,-0.0143,1.2476,1.3143,0.4667,0,1.3333,14.1046,0
48,0,0.8667,0.6667,0,0,1.0524,0,0,0,0,0.7238,0,7.0094,8.8666,0.9857,1.0905,0.9857,1.6714,0,0.0381,0,0.8238,0,0,1.6381,0,2.4
49,0,1.519,0,0.6048,0,0,3.4809,0.7619,0,0,0,0,10.3237,13.6379,1.9857,2.9809,0.7762,1.4762,0.7667,0,0.4524,0,0,0,1.2428,1.0667,0
50,0,0,0,0.5905,0,1.5619,0,10.957,0,0,0,0,0.8048,10.2618,0,0,0,1.4762,-0.0762,0,0,2.0619,0,0,0.7143,7.9713,4.1571
51,0,0,0,0,0.8524,1.6095,1.3952,0,0,0,0,2.3476,9.8761,10.7237,2.4476,0,0,0.3048,0,0,0,0,2.5666,0.6524,3.0143,0.7667,0
52,0,2.7666,0.9381,0.4571,2.0047,0.8476,1.9143,0,0,0,0,0,7.1904,11.4189,0,2.5047,0,0.3571,0,1.8666,0,0.9571,0,2.4333,2.7762,1.9809,0
53,1.2952,0,0,0,0,0,0,0,4.5285,0,0,0,68.6564,119.8558,18.6903,4.4047,18.0569,8.2951,0.1952,0,2.5809,0,1.0571,0,1.2381,1.7047,1.3143
54,0,0,0,2.3857,0.1762,0,2.4,0,0,0.3857,0,0,5.6285,13.8237,0,3.6904,0.8428,0.6381,0,0,0,0,2.1333,1.9238,0.4619,2.0666,0.7428
55,1.1571,3.5619,0,0,2.0619,0,1.8095,0,0.5143,0,0,0,4.3285,7.4047,0,0,0,1.3476,0,0.2762,0.5095,0,0,0,2.7095,1.7143,0
56,0,2.1095,0,0,1.3428,0,0.9476,0.7428,0,0,0,0.4857,2.0666,8.6856,1.6952,0,0.5048,0.7905,0,0,0,0,0,1.2809,4.4999,9.938,1.0714
57,0,0,0,0,1.1428,0.2809,5.4095,1.0476,1.1047,0.8048,0,0.1714,0,9.1094,0,0,0,0.3238,0.5429,0.3714,0,0,1.9762,0.0095,1.4571,0,0.5714
58,4.3428,1.7666,0,1.519,0,0.4857,0,0,0,2.2524,0,0,0,6.4571,0,0,0,0,0,0,0,0.3381,0,2.3762,2.0476,1.1047,0
59,0,0,0.6714,0.3381,0,0,2.9523,0,0,0,0.4809,0,5.2571,9.2428,0,0,0,0,0,0.4619,0.8857,0,0,0.9,0.9714,0,0
60,0,0,0,1.0524,2.3666,1.719,3.0904,0,0.6714,0.4,1.0095,0,2.9238,21.2807,6.8999,0,1.6762,0,0,0,0,0,2.0952,1.3571,3.0381,0.6667,0
61,0,0,0,1.2095,0,0,5.738,0.2619,0,0,0,0.5333,5.8904,9.9332,0,1.6524,1.8905,0,0,1.5476,0.4857,0,0,0,0.319,0,0
62,0,0,1.0238,0.719,0,0,1.5524,0,0,0,0,2.0619,6.619,9.0285,1.9857,0,0.619,0,0,0,0,0.3286,0,0,2.2762,0,0.119
63,0,0,0,1.1809,1.6095,0,0,0,0.4524,0,0,0.4667,8.6237,13.6998,9.638,5.9904,4.5476,4.1476,7.1475,0,0.7952,1.1667,0,1.1428,0.9428,0,0.5905
64,2.219,1.2571,0.1619,0,0,0.4381,7.3475,0,0,0,0,0,36.7663,71.423,0.619,3.3714,0.7905,2.1619,0.3476,1.4809,0,0,0,0,0.2619,5.2999,0
65,1.1571,0,0.7619,0.6619,0,0,1.8143,0,0,0,0,0,3.0095,7.6094,0,0,0.8286,0,1.0238,0,0,0,0,4.7428,0.6333,0,1.2762
66,1.2571,0.7048,0,0,0.6714,0,14.576,0,0.6,0,0,0.4619,19.8093,28.0902,3.6571,1.7238,1.0286,0,0,0,0.3667,0,0.5905,2.9571,4.8571,3.0857,1
67,2.2762,4.5999,0,0.6333,0,0,10.9237,0.4809,0,4.6619,0,0,30.4473,36.6758,10.557,3.1238,1.0857,1.3,2.6143,0.0429,0,0,0,3.1904,0,4.6238,0
68,0,0,0,0,0.2524,0,2.2809,0,0,0,0,0,8.5047,28.8568,2.2476,1.0095,1.7286,0,2.0381,0.4571,0,-0.0143,0,1.1476,1.5,0.5857,0
69,0.7476,0,0,0,0,1.2857,5.3666,0,0,0.9428,0,0,5.0142,29.3901,0,0,0.3952,1.3381,1.0048,1.519,1.4286,0,0,0,4.7761,3.119,0.7571
70,0,1.1476,1.3476,0,0,0,9.0951,0,0,0,0.1571,0,30.0425,41.2614,6.0047,2.8238,2.7571,1.9476,0.8381,0,0,0,0.2809,1.8333,2.2428,2.6762,0
71,0,0,3.2381,0,1.0952,0,14.7522,0,0,0,0,0.6857,27.0806,34.5425,5.8666,0.7238,1.0619,0,0.5952,0,0,0,0,0,0,1.9762,0
72,0,1.3667,0.2048,0,0.8762,0,0,0.4143,0,0,1.0476,0,2.3476,24.2331,0.9667,1.3809,0,0,0,0.3,0,0.319,0,0.7381,1.2095,1.9333,0
73,0,0.7571,0,0.1429,0,0.6238,11.2999,0.7809,0,0,0,0,11.5046,21.7188,1.019,1.5381,0,0.9667,1.4952,0,1.3571,0.3809,0,0,0,0,0
74,0,2.1333,0.9381,0.7381,0,0,0,0,0,0,0,0,1.1286,10.3761,0,0,0,0,0,0,-0.0333,0,0,0,1.7143,0.6762,0
75,0,0.3381,0,-0.0286,0,0,1.6809,0,0.4667,0,3.8904,0,2.8619,10.6427,3.4381,1.0333,0.3476,0,0.6714,0,1.3524,0,0.2095,0,0,0,0.3667
76,0.3714,0.9809,0,0,1.6333,0,13.3951,2.7857,0,0.5857,0,0,22.2426,29.9378,7.9809,3.5047,3.0285,0.5714,0.2429,1.2095,0,1.8666,0,0.5429,0.4476,1.3667,0
77,0,0.6333,0,0.0571,0,1.5143,3.0285,0,0,0.6619,0,0,9.6189,15.4427,4.6999,0.7762,0,0,0,0,0,0,0,2.0571,2.5381,2.8714,0
78,0.5381,0.4667,0,0,1.0238,0,6.4523,0,2.2762,0,0.1714,0,18.3046,31.7854,2.6619,4.5047,1.6857,0,0.4667,0.2857,0,0,0,0.9619,4.6666,2.5524,0
79,0,0,0.7476,0,0,0,0,0.6524,0,0,0,0,2.9476,7.0523,0,0,0.3429,0.9333,0,0,1.2286,0.9238,1.0905,0,0,0,0.9333
80,0,0.6428,0.7428,0.9238,2.2285,2.6333,11.5094,0,0,0,4.1428,0,10.7427,24.7807,3.4523,2.6857,0.9095,2.2524,0,0,0,0.5333,0.3,2.6476,2.1809,0.2,1.4143
81,0,1.4857,0.0048,0,1.3095,0,17.0284,0,0.8952,2.7762,0,0,23.1902,32.5901,1.9905,1.5143,2.119,0,0,0,1.1381,0,0,2.3714,1.3143,0,0
82,0,1.1762,0,1.7476,3.8,0,6.8047,0,0,2.9047,0,0,21.2331,23.995,1.8809,2.5047,1.6809,1.1809,0,0,0,0,0,8.4809,7.8666,2.2381,0
83,0,1.4381,0,0,0,0.719,8.138,0,0,1.8905,0,0,15.7474,45.9233,4.9999,1.819,5.0476,0.0333,0.919,0,0,4.8523,1.419,0.3619,1.5952,1.719,1.0667
84,0.9048,1.2381,0,0,0,0.619,5.8333,0,0.7857,0,0,0,21.0236,32.2901,7.0856,1.1714,0,0.1952,0,2.2143,0,0.5857,0,3.1571,4.4095,3.0857,0.8714
85,0,0,0,0,0,0,2.5333,0,0,0.9857,0,0,2.8714,7.6285,1.7857,0,0,1.3952,0,0,0,0,0,0.7714,1.5524,0,0
86,2.0714,0,0,0,-0.0143,1.3809,4.5619,1.0524,0,0,0,0,4.8238,9.5427,0.4619,0,1.2333,0,0.7095,0,0.7714,0,0,0,0.1571,1.5809,0
87,0,0,0,0,0,0,2.9714,0,0,0.4619,0.6428,1.0857,1.2857,13.7713,0.2238,0,0,0,0.6238,0.3762,0,1.019,0,0,0.5286,0.9524,0
88,0,0,0,0.3809,0,1.0857,2.2095,0,0.3333,0,0,3.6,2.8,8.3666,1.7095,2.9571,1.6524,1.0524,0,0,0.2667,0,0.6857,0,0,0,0
89,0,0,0,0,1.7714,0,1.0524,3.1095,0,0,0,0,7.8666,6.3095,0.9428,0,0,0,0,0,0,0,0,0.4143,4.8476,0.5905,0
90,0,0,0,0.6048,0,0,3.2904,0,0.6,0,0,4.4142,12.4094,37.4948,0.9,1.7095,1.2095,0,0,0,0,0,0,0,0,0,0
91,0,5.3952,0,0,0,2.4762,9.1951,0,0,0,0,0,18.8522,28.6711,14.4046,1.7286,0.6428,0,2.919,0.6714,1.8333,2.3619,0,2.5428,4.9142,0,2.2381
92,0,1.2524,0.6571,0.2571,0,0,0.9571,0,1.2047,0,0,0.0619,4.2714,7.4999,0,0,0.5095,0,0,0,0,0.5238,0.6667,1.8095,0.4809,0,0
93,0,2.3476,0,0.0381,0.519,0,1.6524,0,0,0.5429,0,0,19.6093,26.5092,1.9524,0.6476,1.2524,0,0.7095,-0.0524,0,0.3333,0,2.7381,1.9381,0.5762,0
94,0.0381,1.4333,0,0,1.5524,0,17.5855,0,0.0238,0.9524,-0.0476,0,35.4139,35.3948,2.819,0,0,0,1.2333,0,0,1.1238,0,3.7,5.1761,0.8286,0
95,0,3.0666,0,0,0,0,0,0,0,0,0.5619,0,14.1046,13.4189,1.4667,0,1.4809,0,0.2286,0,0,0,0,1.5,2.9428,1.9905,0
96,1.9666,2.4381,0,0,0,0.3381,0,0,0,0.4476,0,-0.0048,7.1333,14.0713,0.5333,0.4476,1.1143,0,0.2619,0,1.4428,0.8952,0,0.9571,0.8619,1.4952,0.3333
97,0.7,2.3857,0.5857,0,0,3.8952,8.6666,0,0,0.719,0,0,18.9474,26.0759,8.0999,7.3618,1.7666,1.4143,0,0,0,0.4667,0.2809,0.6524,1.3286,-0.0095,0
98,0,0,0,0.0238,2.3571,1.3333,4.9047,0,0.8238,1.1714,0,0,2.5952,13.257,0.6809,0.8762,1.0857,0,1.1714,0,0,0,0.2333,5.819,6.6999,4.1142,0
99,0,0,0,0,0,0.9238,1.3238,0,0,0,0,2.1571,5.4904,7.2713,0,0,1.9381,0,0,0,0,0,0,1.0381,0,0,0
100,1.2047,0,0.5095,0,0,2.0952,1.7428,0,0,0,0,0.5571,0.419,11.5475,1.0714,0,0,0.6667,0,0,0,1.5524,0,1.2047,0,1.5809,0
101,0,1.1476,0,0,0.819,1.0952,2.1809,1.7476,1.7047,0,0,1.5762,8.7285,9.6713,0,3.9285,0.8619,1.1714,0,0.4048,0.2333,0,0.7809,4.3285,1.0476,0,0
102,0,1.6809,-0.0476,0.8,0,0,0,0,0,0,0.4143,1.1143,4.3619,11.5761,0.3381,0,3.1762,1.2,0.8524,0,0,0,0,0,0,4.9047,0
103,0,0.7143,1.8333,0,0.7,0,22.2378,0,0,0.3667,0,0,20.9521,29.3711,2.0095,5.1571,3.6571,0,0.5429,1.2476,0.2809,0.5905,0.3667,5.7333,7.0094,1.2571,0
104,0,0.8381,0,1.9952,0,1.8571,3.2428,0.8,0,0,0,0,6.2047,7.3047,1.1143,0.5,0.4809,0,0.3238,0.3571,0,0,0,0.8143,0.6286,0,0
105,0,3.1952,0,0,0,0,2.1714,0,0,0,0,0.8857,7.7999,11.5713,1.7428,0,0,0,1.7524,0,0,1.1333,0,0,0.3048,0,0.9048
106,0,4.3142,0,0.0333,0.7762,0.6048,18.4236,0,0.5238,0,0,0,17.8903,33.8139,0,3.4333,3.2428,5.138,0,0,0.9476,0,0.3476,2.1857,0.3619,2.6143,0
107,0.3429,2.4333,0,0,0.3286,0,5.8761,0,0,0,0,-0.0333,9.7713,23.2235,0,0,1.619,0.8524,0,0,0,-0.0048,0,2.9619,0.2143,0.9619,0.0143
108,0.4476,0,0,0,0,0,7.919,0,0,0.1,0,0,12.9046,13.1999,1.3095,1.5762,0.719,0,0.7,0,-0.0333,1.3286,0,0,0,0,0.7524
109,0,5.5809,0,0,0,1.0857,2.0238,0,0,0,0,1.2905,6.0809,11.6999,0,1.7952,0,1.1143,0,0.9381,0,0,0,0.3857,4.0238,0.9,0.5429
110,0,0,0,3.3142,0.5286,0,3.4095,0,0,1.1238,0,0,3.6095,8.8999,0,0,0,0,1.1524,0.7952,0,0.3571,0,0,0.2905,0,0
111,0,1.8238,0,2.0762,0,0,4.9571,0,0.4857,0.4619,0,0,0.4143,6.6856,0.7667,1.1762,0.8905,3,0.519,0,0,0,0.7143,1.3047,1.2238,0,0
112,0,0,0.3095,0,0,0,22.9188,1.0428,0.419,0.019,0.6,4.4333,37.1853,53.9613,6.2571,0,0.081,0,2.5143,1.2809,0,0,0.3809,1.6,6.9856,0,0
113,0,0,0,0.2571,0,0,12.0761,0,0.5714,0,0,0.6476,23.8616,63.2136,1.9524,10.2285,1.3238,1.9333,1.1952,0,0.5095,0,0.4571,0,0,5.2142,0
114,0,0,1.4095,2.4095,0,2.9619,4.0809,0,0,0,0.5476,0,5.9237,11.0618,0.6238,0,0,0,0,0,1.3095,0,0.7762,0,1.8714,0.8905,0
115,0,0.6667,0,0.2857,0.0952,0.9809,0.7952,0.8714,0.5238,0.3333,0,0,22.1569,49.5994,2.7762,4.7142,2.7762,0,0.7524,0,0,0.5,1.2428,0.8857,4.2285,3.6,2.1714
116,0.7095,0,0,0,0.5667,1.8095,1.9,0,1.3619,0.7571,0,0,6.2618,6.1761,0,0,0.7381,1.319,0.4048,0,0.2286,0.5905,0,1.4143,3.3666,1.5905,0
117,0,1.4143,0,0.8952,1.419,0,0,0,0.7571,0,0,1.8809,15.0617,9.4094,3.1666,1.4809,7.9285,0,0.3762,0,0,0.3381,1.7619,2.7714,0.619,0,0
118,0,0,0,0,0,0,0.7095,0,0,0,0,0,3.119,8.5285,0,1.6476,0,0.1429,0.2524,0,0,1.0238,1.4333,0,1.6666,0,0
119,0,0,0,0,0,0.9571,5.1238,0,0,0,1.4,0,16.0998,28.5949,4.038,0,1.2524,0,0.6809,0.4095,0,0.1571,0,0,1.1333,-0.0476,0
120,1.0714,1.6143,1.7857,2.1905,0,0,27.5759,0,0,0,0.4809,0,41.0329,188.3645,14.9475,3.2952,3.3333,3.6333,0,3.7761,-0.0667,0,0,0,2.6476,0,0
121,0,0,1.1047,1.1095,2.0381,0,6.3904,0,0,0,0,0,17.7427,19.7617,6.819,1.9,0,0,0,0.5809,1.0333,5.7428,0,0.5809,5.538,2.3476,0
122,0,0,0.3571,0,0,1.7619,0.3143,0,0,0,0,2.5666,6.5142,10.2094,2.1524,0,0.1429,2.0762,0,0,0,0,0.2762,2.619,0.5952,0.4809,0
123,0,0,0,0,0,0,0.0667,1.1095,0.1571,0,0,0,3.4,18.8331,0,1.2905,3.0762,0.7714,1.2143,0,0,0,1.1571,0.8857,0,0.4619,0.1048
124,0,0,0,0,0,0,1.3714,0,0,0,0,2.0428,6.2666,18.3665,5.9523,2.1095,2.2,2.7857,0,0,0.3714,0,0.5476,3.9476,2.3047,4.2666,0
125,0.5429,0,0,-0.2524,0,0,4.1095,0,0,0,0,0,0.2143,8.8761,0,0,1.3381,0,0,0.9476,0,0,0,1.1809,0,1.1428,0
126,0.8619,1.3381,0,0,0.5619,0.8381,3.4714,0,0,0,0,0,10.3094,18.5093,3.7714,0,0.6238,0,0,0,0,0,1.1,0.5762,0.6143,0,1.419
127,2.5,0,0,0,0,0,4.1238,0.9905,0,0,0,0,13.0189,13.8713,2.4,0,0,0.0048,0,0,0,1.7714,0,1.0762,4.3619,6.419,0.1
128,0.4095,0.6095,0,0,0,0.6381,3.6333,0,0,0,0.9905,0,10.8523,14.6475,2.419,0.3905,0.8048,0.9714,0.4571,0,0,0,0.3762,1.8047,0.8762,0.9048,0
129,0,1.0286,0,0,1.0905,2.3476,0,0,2.5095,0,0,0,8.9047,12.0475,1.6857,0,3.219,1.2286,1.7714,0,0,0,1.2,0.3286,4.6142,0,0
130,0,1.2,0,0,2.0762,0,9.2666,0,0.4476,0,0,1.7809,11.3761,17.5665,1.519,0,0.3571,0.9952,0,0,4.5809,0,0,0,1.6666,1.9571,0.2524
131,6.719,0,0.2381,0,0,0.7524,2.0476,0,0,0,3.2476,0,1.6286,8.657,0,0,0,0.7381,0,0,0,0,0,1.1952,1.3095,2.1333,1.0571
132,1.2,0,0,2.3047,0,1.3,3.4762,0,0,0.5905,0,0,10.3951,19.776,0.9476,0,0,3.1904,0,0,0,0,0,0.1476,0,1.8047,0.7
133,0,1.0762,2.1809,0,0,0.6048,3.9381,0,0.6524,0,0,0,1.4476,15.1855,0.6857,0,2.219,3.3666,0,0,0,0.8667,0.9381,0,0,0,0
134,0.7809,3.0047,0,0.7,0,0,5.6237,0,0,0,2.5904,0,9.338,10.2999,0,0,1.5714,0,0,1.3143,0,0,0,0,1.1476,1.7809,0
135,1.2714,0,0.8809,1.2143,0,0,1.5381,0,0.5095,0,0.4571,0,3.7238,6.738,1.4762,1.0286,0,0,0,0,-0.0095,0.319,0,0,1.8857,0,0.1524
136,0,0,2.3666,0,0,3.3619,0.4095,0.8048,0,0,0,0.919,0.9571,7.9713,0.4381,0,1.1762,0,0,0.5143,0,0,1.1095,0.4952,5.5666,1.8095,0
137,0,0.5429,0.9571,0,0,0,3.3238,0.2667,0,1.2619,0.5381,0.7619,13.0141,21.9521,0.0571,1.1047,2.5238,0,2.3381,0.5571,1.3476,0,0,0,1.5857,0,0
138,2.1333,0,1.0143,0,0,0,4.0571,0,0,0,0,0,1.2333,7.9237,0,0,0,0,0,0,0.3809,0.8952,0.1048,0,0.1905,1.2571,-0.0238
139,1.0095,1.0714,0,1.1476,0,0,1.0714,0,-0.0476,0.3429,0,0,12.6713,9.3047,3.4095,0,0.519,1.8095,0,0,0,0,0.5476,3.2809,0.3952,0,0
140,0,0,0,4.2904,0,1.3286,0,0,0,1.619,0,0,0.3333,6.1999,0,0,0,0,0,0,1.1952,0,2.0571,0.7095,0.3,0,0.119
141,0,1.0381,2.2095,0.6238,0.4524,0,2.9809,0,0,0,2.0571,0,10.5427,10.5618,5.6999,4.2095,3.0238,1.8857,0,0.8667,0,0,0,0.8809,0,0.6333,0
142,0,1.4952,0,0.0095,0,1.419,0.4238,0,1.5857,0,0,0.8238,4.5857,14.1713,0,0,0,0.3238,0,0,0,0,0,2.9095,2.6285,3.6523,0.2333
143,0,0,0,0,0,0.5429,0.1619,0,0,0,0,0,3.9476,7.2523,1.7143,0.5809,0.9476,0,0.3524,0,2.1285,0,0.4905,1.0714,0,0,0
