RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
19.084,0,2.5,0.452,0,0,0.343,0,0,0,0,0,0,3.138,7.128,3.767,0.924,5.1,0.905,0.219,0,0.529,0.933,0,2.476,1.719,0.71,0.895
20.029,0.005,1.143,3.143,0,0,0,0,0,0,1.319,0.2,0,2.609,7.067,0.252,0.919,2.481,0,0.49,0,0.148,0.429,0.605,0,1.69,5.457,1.281
20.135,0,1.267,0,0,-0.014,0,4.643,0,0.624,0,0,0.5,4.386,8.819,0,0,0,1.867,0,0,0,0,0,0,0,0,0
20.792,0,5.443,1.462,0.81,0.552,5.257,0,0,0,0,0,0,0.514,6.195,0,0.543,0,0,0,0,0,0,0,0,0,0,1.6
20.841,0,0,0,0,1.267,0.271,6.29,0.819,1.09,0,0,0,8.448,12.662,0,1.633,0,0,2.143,0.781,0,1.09,1.352,1.533,1.171,0,0
20.967,0.99,0.39,0.61,0,0.41,0,1.586,0,0,0,0.024,0,6.905,5.881,0,0,0.533,0,1.743,0.371,0,0,0,3.219,0,0,0
21.907,0,1.176,0,0,0.829,0,2.4,0,0,0,0.019,0,18.147,15.643,0.357,0,1.743,0,0,0.033,0,0,0,0,2.381,0,1.267
21.93,0,0,0,0,0,0,5.014,0,0,0,0,0,20.552,15.8,1.1,3.281,0,0,0,0,0.457,0,0,1.39,1.79,1.838,0
22.675,2.186,1.571,1.043,0,0,1.09,0,0,0,-0.019,0.919,0,0,8.99,2.795,1.824,2.338,0,0,0,0,0,0,0,0.062,0,0
24.8,0,0,0,0,0,2.952,0,1.638,0,0.924,0,0,0,6.528,0.176,0,0,0,0,0,0,0,0,0,0,0,0.81
25.482,0,6.39,0,0.605,0,0,1.205,0,0,0,0,0,1.51,6.471,0,0,0,0,0.419,0,2.19,0,0,0,0,0,0
25.678,0,0.4,0.538,0,0,3.69,0.21,0,0,0,0,0,5.709,6.214,1.033,1.648,1.471,0,1.533,0,0.705,1.129,2.395,0.786,0.033,1.429,0.995
26.536,1.076,1.176,0,1.81,0.762,0,0,2.01,0.214,0,0,0,1.776,14.19,0,0.567,1.3,0.138,0,0,0,1.305,0,0.981,0,1.381,1.181
26.669,0,0.89,0.429,0,0,0,0,0,0,0,1.433,0,3.043,10.752,0.305,1.01,0,0.867,0.819,0,0,0.91,0,0,0,1.019,0
27.368,0,0,0,0.643,0.8,0.881,3.929,0,0,0,0,0,16.9,42.228,0.11,0,0.633,0,0,0,0,0.876,0,0.567,1.771,1.586,0
27.423,0,2.695,0,0,0,0,5.043,0.614,0,0,0,0,8.681,5.79,6.286,0,0,0.695,0.357,0,0,0,0.829,0,2.362,1.852,1.052
27.449,0.781,0,0,1.838,0,0,0.91,0,0,0,0.505,0,11.786,17.457,1.376,0,0.819,0,0.552,0.181,0,1.438,0.071,0,2.409,1.59,0
28.339,0,3.719,0,0,0,0.557,5.543,0,0,0,0.5,0,9.2,17.376,2.733,0,0,0,1.395,0,0,0.381,0,2.295,0.457,3.648,0
29.471,0.524,0.724,0.033,0,0,1.662,0,1.414,0,0,0,1.695,2.514,11.562,0.995,0,0,0,0,0,0,0,0.019,1.105,2.814,3.29,0
29.483,0,4.448,0,0.429,0,1.605,9.486,8.133,0,0,0,0,17.171,46.69,1.99,1.638,1.943,0,2.005,0,0,1.881,0,1.61,5.071,5.709,1.929
30.19,0,0,1.257,0,1.043,0,0,0.41,0,0,3.343,0,4.376,5.781,5.943,0,0,0,1.81,0,0,0.49,0,0,0,0,0
30.203,0,0,0,0.433,0,3.69,3.948,0.343,0,0,0,0,6.062,22.385,2.648,0,2.286,0,0,0,0,-0.01,0,0.429,3.462,0.581,0
31.142,1.471,2.9,0,0,0,1.981,2.867,2.367,1.081,0,1.819,0,4.409,8.476,0,1.548,1.352,0,0,0,0.7,0,0,0,4.171,0.729,0
31.166,0,0,0.871,0,0,0,3.533,0,0,0,0,0.929,0.581,8.662,0,0.633,0,0,0.333,0.676,0,0,0,0,0.224,0,3.1
32.223,0,1.371,0,0.252,0,0,0.586,1.224,0,0.524,1.3,0,5.095,23.457,1.619,0,0.762,0.571,0.605,0.848,1.21,0.924,0.019,0.614,1.043,1.438,0
32.225,0,0.867,0,0.638,1.319,0,14.095,2.495,0,0,0,0,42.142,38.704,6.19,0,1.662,0,0,1.538,2.081,0,0.443,2.281,2.7,4.495,0.381
32.284,1.967,0,0,0,0,1.61,0,-0.024,1.638,2.833,0,0,0,7.652,0,0.1,0,0,2.738,0,0,0,0.69,0,0.781,1.271,0
33.044,1.01,0,0,0.019,0.414,3.819,26.766,0,0,0,0.829,1.21,50.261,140.194,14.624,3.938,11.833,0,2.195,0,1.957,1.1,0.724,0.281,1.767,4.176,0
33.051,1.514,0.543,1.81,0,0,0,1.814,0,0.776,1.314,0,0,7.819,10.481,2.448,0,0.938,0,0,0,0,0,0.852,0.99,1.8,0,0
33.112,2.762,0,1.01,0,0,0.905,9.448,0,3.048,0.467,0,0,30.704,57.795,7,2.295,1.39,0,1.31,0,0,0,0,0.238,3.319,0,1.048
33.302,0,0.581,0,1.61,0,0,14.333,0,0,0,0,0,7.548,11.252,7.2,3.133,1.129,0,0,0,0,0,0,1.333,3.767,1.905,0
33.982,0,0.49,0.338,0,2.276,0.41,3.014,0.895,0,1.733,0,0,9.286,10.886,0,0.643,0,0.819,0.957,0,0,0,0,0.924,0.795,0.719,0
34.018,0,2.681,0,0,0,0,3.405,0.01,0.476,0,0,0,3.367,6.767,1.038,0,0.81,0,0,0,0,0,0.352,0.976,1.357,0.795,0
34.075,0,0,0.671,0,0,1.067,0,0,0.614,0,0,0,0,6.767,0,0,1.186,0,0.376,0,0,0,0.762,0.8,0.986,0,0
34.968,0.448,0,0,0,0,0,0,0,1.648,0,0,0,0,6.957,0,2.552,0,0,0,0.238,0,0,0,3.924,0.805,0,0
35.094,0,0.705,0,0,0,0,0,0,1.933,-0.029,0,0,2.1,7.614,0,0,2.552,0,1.105,2.767,0,0,0,0,1.205,1.033,0
