,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
159,1.157,0.0,0.0,0.7759999999999999,0.9670000000000001,0.0,0.0,11.481,0.0,0.0,0.0,0.733,0.61,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2139999999999995,0.0,0.0,0.9999999972247331
160,0.0,2.224,0.581,0.195,0.0,1.443,0.0,11.362,1.81,0.18600000000000003,0.0,0.0,4.581,9.667,0.486,0.638,0.0,0.0,0.0,0.0,1.433,0.0,0.0,0.0,0.0,0.89,0.0,0.9999999983345917
162,0.14300000000000002,0.0,0.028999999999999998,0.5329999999999999,0.0,0.0,2.367,19.814,0.0,0.0,1.476,0.0,18.024,34.238,0.5710000000000001,0.0,3.0669999999999997,0.0,0.0,0.038,0.0,0.0,0.0,1.043,0.0,1.786,0.738,0.9999996106885466
163,0.414,0.0,0.0,0.0,0.0,2.681,7.2139999999999995,14.414000000000001,0.0,0.0,0.0,0.429,7.357,12.547,0.0,0.9620000000000001,0.7190000000000001,1.9140000000000001,0.7140000000000001,0.0,1.324,1.0859999999999999,0.0,2.286,3.167,0.467,2.4330000000000003,1.0
164,0.0,0.0,0.59,0.0,1.2,1.81,0.0,11.538,0.28600000000000003,0.0,0.0,0.0,1.381,7.267,0.0,0.0,0.0,0.0,0.0,0.7759999999999999,2.886,0.0,0.0,0.305,1.014,0.0,0.0,0.9999999999974201
165,0.0,1.41,0.0,0.0,0.0,0.0,3.033,7.324,0.0,0.0,0.705,0.0,1.329,7.127999999999999,1.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,1.162,0.0,0.0,0.9999999999292164
166,0.0,0.0,0.0,1.695,0.0,1.129,0.0,12.895,0.0,1.99,0.0,0.0,4.428999999999999,10.628,1.662,1.5290000000000001,0.943,1.024,0.905,1.224,0.0,0.0,2.4859999999999998,0.0,4.829,0.0,0.7809999999999999,0.9999999999995139
167,0.424,0.0,0.0,0.0,1.157,0.48100000000000004,2.052,22.19,0.0,0.0,0.0,0.0,3.362,7.619,0.0,1.505,0.0,0.0,0.0,0.0,0.0,0.0,1.5290000000000001,1.014,3.048,0.0,0.0,0.9999999999998097
169,0.0,1.9809999999999999,0.0,0.057,0.0,0.0,2.676,6.348,0.0,0.0,0.0,0.0,5.242999999999999,11.514000000000001,2.681,0.0,0.486,0.0,0.5379999999999999,0.0,0.0,0.0,0.852,0.0,3.5860000000000003,0.0,0.7,0.9999999999999729
170,0.0,2.767,0.0,0.0,0.0,1.681,0.0,24.070999999999998,0.0,1.4380000000000002,0.0,0.0,0.21,7.557,0.0,0.0,0.0,0.0,0.0,1.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999988071565964
