RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
151.215,0.562,3.638,0,0.505,0.371,1.429,10.105,0,0.014,0,0,0.519,13.409,17.086,1.148,1.633,2.352,0,0,0.514,0,0,1.662,0,0.929,0.633,0
157.889,0,0,0.414,2.238,0.919,0,0,0,0.89,0,0,0,12.4,34.409,8.024,2.576,1.367,0,0,0,0,2.033,0,1.21,0,7.867,6.119
159.821,0.571,0.976,1.167,0,0.657,0,0.824,2.829,0,0,0,0,0,8.738,1.833,0,0.562,0,1.338,0,0.757,0,0,0,4.643,0.695,0
169.006,0.629,0,0,1.505,1.219,0,0,0,1.014,2.919,1.71,0.329,0,5.809,0,0,0,0.61,0,0,0,0,0,0,2.067,0.505,0
171.722,1.952,4.038,0,0,0,0,0.595,0,0,0,0.738,0,0,5.533,0.424,1.329,0,0,0,0,0,0,0.524,0,0,0,1.052
177.35,0,1.038,0.871,0,0,0,0,0,0,0.462,0,0,0,5.195,1.552,0,0,0,1,0,0.838,0,0,0,0,0,0
182.106,0,0,1.4,0,0,0,35.004,2.395,0,0,0,0,1.09,8.405,1.733,0,0,0,0.919,0.281,0,0,0,0,0,2.586,0.61
185.014,0.671,3.071,0,0,1.438,1.31,0,0,0,0,0,0,10.767,11.081,4.171,1.938,4.757,0.529,0,0.419,0,0,1.705,1.624,0,4.071,0.519
185.686,0.981,0,0.448,1.914,0,0,0,0,0,0,0,0,1.229,6.252,1.448,1.5,0.543,-0.005,0,0,0,0.267,0,2.014,9.052,0.571,1.39
186.762,1.424,0,0.243,0,0,0.881,14.652,0,0.586,0,0,0,42.228,45.809,1.557,0,1.533,0.348,0,0.405,0,0,0,0,0.524,0,0.319
195.178,0,0,0,0,0,0,0,0,0,0,0,0.852,0,6.681,0,0,1.629,0,0,0,0,0.724,0,0,0,1.105,0.948
203.684,0,0,1.338,0.314,1.09,0,0,0,0.648,0.776,0,0.714,6.99,20.052,0,1.676,2.838,0.7,0.824,0,0,0,3.367,5.167,0,3.329,0.376
206.363,0,0,0.5,0.248,0,0.938,0,0,0,0,0,0,0,7.686,0,0,0.638,0,0,0.838,0.486,0,0,0,0,1.848,0.071
207.358,0,2.352,0,0.529,0.129,0,3.629,0.519,0,0,0,0,2.114,9.024,0,0,0,0.262,0,0,0,0,0,0,1.595,0,0
212.033,0,0,1.043,0,0,0,0,0,0,0,0,0,0,5.195,0,0,0,0,0,1.081,0,0,0,0.424,0,0,0
225.06,0,0,0.376,0,1.524,0.814,0,0,0,0.914,0,0,0,5.929,0.619,0,0,2.052,0,0,0.695,1.233,0,1.11,1.862,0,0.867
244.632,0,0.157,0,1.676,1.529,0,11.29,0,0,0,0,0,16.009,9.7,1.529,1.514,0,1.014,1.038,0.943,0,0,2.233,2.081,1.986,0.919,0.624
254.608,0,0,0.829,0,0,0,0.529,1.6,0,0,0,0,0,5.748,0,0.962,0,0,0,0,1.476,0,0,0,0,0,0.943
257.687,0,1.005,0.267,0,0,0.762,0,0,0,0,0,0,0.605,5.495,0,0.467,0,0.467,0,0,0,1.152,1.31,4.248,2.495,3.014,0
258.524,0,0,0,0,0,1.89,0,0,0.305,2.033,0.524,0,0,5.524,0,1.6,0,0,0.629,0,0,2.414,0,0,0,0,0
260.279,0,0.848,0,0,0,0,0.205,0,0,0,1.524,0,0.357,5.652,0.971,0,0,0.314,0,0,0.362,0,0,1.714,0,0,0.605
265.852,0,0,0,0,0,0,0,0,0,0,0,0,0,5.771,0,0,0.952,0,0,0,0,0,0,0,0,1.824,0
272.298,0,0,0.905,0,0.367,0,10.967,3.619,0,0,0,0,21.619,48.004,2.724,2.624,0,0,0,0,0,0.552,0,1.9,4.133,1.233,0
272.382,0,0,0.829,0.057,0,4.457,0,0.476,2.067,0,0.49,0,0,13.138,0,0,0,0,0.619,0,1.129,0.967,0,0,0,2.414,0
277.101,0.367,1.505,0,0.59,0,0.962,1.795,0,0,0,0,0,9.348,20.476,1.348,1.371,3.1,0,0,1.262,2.5,0,0.757,0,2.343,2.386,0.457
277.945,0.186,0.714,0,0,0,0,0.329,0,0,0.438,0,0.733,0,15.038,0,0,0,0.952,1.91,0,1.195,0.386,0,2.519,4.157,0,1.071
278.206,0,0.029,0,0,1.471,0,0.248,0.819,0,0,0,0,0.452,5.481,0,0,0,0.21,1.638,0,0,0,0,1.648,0.652,0,0
282.716,1.462,0,0.705,0,0,0.943,1.562,0,0,0,1.505,0,0,7.962,0,1.424,1.614,0,0,0,0,1.976,0,0,0.576,0,0
294.766,0,0,0.948,0,0,3.181,0,0,1.933,0,0.714,0,0,5.886,0,1.671,0.729,0,1.51,0,0.233,0.867,0,1.452,1.976,1.214,0
295.825,1.633,1.148,0,2.052,0.724,0,0,0,0,1.176,0,0,0.671,6.452,1.024,2.867,0,0.862,1.195,0,0,0,0,8.005,11.195,0,0
304.09,0,0,0,1.167,0.971,1.405,1.31,0,0,0,0,1.081,2,5.648,0,0,0,0,0,0,0,0,0,1.948,1.243,0.314,0
307.875,0,0,1.276,0,2.495,0,7.367,1.381,0,0,0,0,16.295,29.719,4.771,1.371,2.729,1.99,0,0,0,0,0,2.981,7.052,0.933,0.357
321.946,0.919,0,0.829,0,0.519,0.052,11.633,0.738,0.429,0.933,0,0.962,12.257,30.514,1.729,3.757,0,0,0,0,0,0,0,0.6,2.186,0,1.29
324.499,0,1.138,0,0,1.148,-0.024,0,0,0,1.514,0,0.076,0,7.671,1.452,0,0,2.414,0,0,0,0,0,0,0,1.205,0
335.88,0,0.89,0,0.71,0,0,2.581,0,0,0.876,0.981,1.314,2.39,8.686,0,1.352,2.567,0.481,2.062,1.471,0,0,0,0.724,3.395,10.576,0
340.381,1.452,0,0,0.529,0,0,0,0.9,2.029,0,0,0,0,5.152,0,1.338,0,0,0,0,0,0,0.39,0,3.343,0.405,0
340.579,2.3,1.129,0,4.533,0,0,3.809,0,0,0,0,0,17.976,28.762,1.862,2.024,1.781,0,0.39,1.5,0,0,0,0.895,0,0,0
349.629,1.419,0,1.414,0,0.771,0,0.443,0.662,0.271,0,0,0,0,5.705,0.895,0,2.238,0,0,0.571,-0.019,0,0,4.49,6.581,1.819,1.086
350.796,0,0,-0.057,0,0.914,0,0,0,0,0,0.886,0,0,7.143,0,0,0,0,0,0,0,0,0.457,0,0,0.448,0
352.431,0,0,3.205,0.162,0.843,0.871,1.586,0,0,0,0,0,3.381,5.181,0,1.386,0,0.881,0,0,0.371,0,0.395,1.424,0,0.519,1.148
357.118,0,0,0,0,0,0,0.686,0,0,0.671,0,0,0,5.352,2.581,0,0.548,0,0.567,0,1.124,0,3.676,3.467,2.229,0,0
357.275,0,0.714,0,0,0,0.252,0.667,0,1.443,0,0.767,0,0,5.886,0,0,0,0.857,0,0,0.719,4.495,0,0,0,0,1.186
360.967,0,0,0.029,2.914,0,0,0.324,0.667,1.724,1.286,0.705,0.695,0,5.071,0,1.262,0,0,0,0.662,0.662,0.752,1.252,0,0,0.6,0
362.632,0,0,0,0,1.224,0,0,0,0,0,0,0,0,5.829,0,0,1.176,0,0,0,0,0,0,0,0,0,0
364.704,1.371,2.571,0,0,0,0.614,0,2.957,1.114,0,0.976,1.333,0,7.586,0,0,1.533,0,0,0,0,0,0.157,0,0,0,0
367.385,0.267,1.838,2.281,0,0,2.581,15.471,0,0,1.714,1.352,0,80.128,136.537,12.076,3.081,17.905,4.271,0,1.586,1.876,0,0.714,0.967,0,35.333,0.538
369.418,0,1.086,0.433,0.938,0.524,0.371,0,0,0,0,0.971,0,0.61,5.109,0,0,1.676,1.029,0,-0.024,0,0,0,0,1.819,2,4.576
372.072,1.171,0,0.462,0,0,0,2.824,1.148,0,0,0,0.39,3.152,11.367,3.348,0,0,1.186,0,1.095,1.057,0,0,0,3.043,0,0
0,0,0,0,0,0,0,0,0,0.838,1.105,0,0.61,0,5.652,0,0,0,0.705,0,0,0.914,0,0,-0.052,0.543,0,0.848
