25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0,0,0,0,0,0,0,0,0,0,0,0,1.514,409.657,0,0,0,0.505,0,0.871,1.419,1.543,0.305,0,1.619,0.348,0
0,0.2,0,0,0,0,0,0,0,0.805,0,0,0,65.185,0,0.871,0,0,0,0,0,0,0,0,0,0,0
1.695,0,1.776,0,1.652,3.186,0,0,0,0,0,0,0.995,783.062,0.31,1.062,1.338,0,-0.043,0,1.419,0,0,0.781,2.981,0,0
1.476,0.838,0,0,0,0.514,0,0,0,0,2.471,0.014,0,346.001,0,1.157,0,0,0,0,0,3.343,0,1.843,0,0,0
1.852,0,0,0,0,0,2.843,0,0.333,1.057,0,0,0,621.017,0,1.748,3.076,0,0,0,0,0,0,0.905,2.257,0,0
0,1.419,0,0,0.467,0,1.714,0.838,0,0,0,0,1.224,32.028,0,0,0,0,0,0,0.976,0,0,0,1.371,0,1.595
0,1.933,0,2.614,3.886,1.024,0,0.686,0,0,0,0,0,337.044,0,0.248,0,-0.019,0.352,0.79,3.033,1.1,0,0,0.886,0,0
0,0,0.79,0,0.657,2.567,1.295,0,0.962,0,0.267,0,1.8,402.372,1.014,0,0.581,0,0.205,0,0.338,0,0.781,1.014,0.81,0,0
0,1.795,0,0,1.89,1.052,2.481,0,0.552,0,0,0,0,973.427,2.062,0,1,3.743,1.195,1.838,1.705,0,1.729,0,0.662,0,0.986
0,0.538,0.852,0,1.124,0,1.924,0,0.924,0,0,0,0.633,427.129,0,0.362,0,1.233,0,0,0,0,0,0.757,-0.029,0.019,0
0,2.081,0.276,0.5,0.486,1.543,0.348,0,0,0,2.886,0,0,149.046,0,0,0,0.952,0,0,0,0,0,0.676,0.667,0,1.976
0,1.905,0.581,0,0.81,1.205,0,0,0,0,0,0,1.229,731.996,0,0,0,2.138,0,0.41,2.2,0,1.681,0,0.543,0.905,1.867
0,1.381,0,0,0,0,0,0,0.79,0,0,0,3.286,6802.602,-5.505,-3.995,1.995,0.619,0.781,0.957,1.51,0,1.552,0,1.848,0,0.876
0,0,0,0,0,0,0,0,0,0,0,1.819,0,558.932,2.557,1.143,0,0.729,0,2.348,0,0.876,0.286,0,1.295,0,0
0,0.024,0,0,0,0,0,0,4.909,0,0,0,0,990.122,-0.024,0.224,0,0.09,0.452,1.61,2.843,0,0,0,1.467,-0.024,0
1.248,1.767,0,0,0,4.957,2.376,1.319,0,0,0,1.043,0,247.302,0,0,0.162,1.19,0.914,0.771,0,0.824,1.233,0,1.343,0,1.3
0,0,0,0,0.381,1.248,2.233,0,0,0,0,1.214,0.914,591.784,0.448,1.629,0.4,0.143,0,1.033,0,0,0,0,2.571,0,0
0,0.586,0,0,-0.062,0,0,0,2.233,0,0.776,0,0.633,642.426,0.186,0.181,0,0,1.286,0,0,0.581,0,0,0,0,0
0,0,0,0,0,0.886,0,0,0,0,0,0,0,840.067,1.995,0,0,0,0,0,0,0.267,0,1.881,1.648,0,1.395
0,0,0,0.529,0,0,0.205,1.295,0,0,0,0,0,567.398,0,0,0,0,0,1.071,0.8,0,0,2.505,1.538,0,0
0,0,0,0,0,0,0,0,0,0.843,0,0,0,470.033,0.462,0,0,0.867,1.148,0,1.986,0,0,0.7,2.39,0,2.148
0,0,0,0.705,0,0,0,0,0,0.362,0.89,1.205,0,929.513,0.686,0,0.029,0,0,1.6,0,0,1.786,0,0,0,0
0,1.957,0,0,1.143,0,0,0,0,0,0,0.886,0,990.622,0,2.3,0.229,0.076,0.286,0,3.552,0,0,0,1.557,0,0
0,-0.038,0,0.505,0,0,0,0,0,0.971,0.033,0,2.3,2406.216,1.467,1.89,0.105,1.248,0.857,0,5.567,0,0.01,0.748,5.552,0,0
0,0,0,0,0,2.524,0,0,0,0,0,0,0.686,817.238,1.41,0,0.667,0.333,2.424,0,0.986,0,0.629,4.205,1.31,0,0
0,2.233,2.414,0,0,0,0,0,0,0,0,0,0.343,125.87,0.019,1.067,0,0.795,0,1.167,0,0,0.895,0,4.262,0,0
0,1.643,0,3.248,0,0,1.186,0,0.61,1.581,0,0.51,0,1073.259,0.443,1.49,0,1.252,0.276,1.352,1.49,0,0.705,0,0.995,0,0
0,0.238,0.9,0,2.314,0,0.162,0,0,0.462,0,0,0.729,338.782,1.367,0.486,0,1.114,0,0,0,0.4,0.081,0,0,0,0
1.1,0,0,0.324,2.814,0.214,0,0,0,0,0,0,0,239.107,0,0.605,0,0,0,3.209,0.857,0.338,1.243,3.714,0,0,0.795
0,0,0.019,0,0,0,0.024,0,0,0.219,0.486,0,0,264.411,1.162,0.943,0,0,1.871,0,0,1.167,0.524,0,0,0,0
0,0,1.481,2.414,0,1.867,0,1.943,0,0,0,0.476,0.671,569.108,1.424,1.5,3.229,0,0,0,0.314,0,0.61,2.062,3.567,0,0
0,1.095,0,0,0,0,0,0,0,1.31,0,0,0,308.277,0,0,0,0.743,1.919,0,1.152,0,0.729,0,0.457,0,0
0.952,1.429,1.071,1.643,0,3.162,0,0,0,0,0,0,0.752,388.938,1.014,0,1.381,0,0,3.162,0,0,1.395,0.776,0,0.405,0.519
1.114,2.719,0,-0.029,0,2.3,0.429,0.6,0,0.029,0,0,0,1728.233,0.095,-0.343,0.69,0.619,0,0,1.986,1.038,0,1.171,0.952,0,0
0,0,0,0,0,0.39,0,0.89,0,0,0,0,2.69,1462.698,0.024,0,0,2.4,0,0,1.41,0,0,2.281,0,0,0.495
0,0,0,0,0.1,0.029,0,0.571,0,0.752,0,0,1.762,384.596,2.257,0,0,0,0,0,0,0,0,2.043,1.1,0,0
0,0,0,0,0,0.367,0.848,0,0,0,0,0,1.295,1255.081,1.376,0.348,0,1.229,0,0,6.39,0,0,0.652,0.667,-0.033,0
0,-0.01,0,0,0.51,2.424,0,0.157,0,0,0,0,0,352.296,0,1.162,0.743,1.352,0.552,0,0,0.795,0,0,0,0,0
0,1.419,0,0,0,0,0,0.1,0,0,0.271,0,1.062,298.254,0.571,0.652,0,0,0,2.352,0,0,0,0,0,0,0
0,1.752,0.452,0,1.324,0,0,0,0,0,0,0,2.505,1183.772,0.462,0,-0.057,0.6,0.324,0,2.643,2.333,0,0,0,0,0
1.129,0,0,1.576,0,2.181,2.119,0,0,1.648,0,0,0,478.104,0,0,1.519,0,0,0.919,1.4,0,0,0,0,0,0.881
0,3.414,0,0,0.948,0,0.762,0,0,0,0.833,0.257,0,157.017,0,0,0,0,0,0.41,3.333,0,1.424,0.576,1.024,0,1.029
0,0,0,0,0,0.462,0.448,0,0,0,0,0,3.362,857.066,7.257,0,0,0,0.324,0,0.414,0,0.014,0,1.395,2.157,0
0,0,0,0,0,0,0,0,0,0,0,0,2.338,715.268,0,0,0,0,0,0.543,2.819,0,0.91,0,0,0,0
0,1.129,0.99,0,1.295,0.619,0.519,0,0,0,0.171,0,0.895,2399.511,0.705,-0.619,0,-0.052,1.524,0,0.624,0,0,1.838,5.024,0.486,0
0,0,0,0.381,0.348,1.176,0,0,0.643,0,0,0,0,663.364,0.405,0.171,0,0.295,0,0,0,0,0,1.924,2.581,0,0
0.633,0,0.605,0,0,0.314,0,1.448,0.433,0.586,1.757,0.733,0,298.368,0,0,0,0,0,0,1.386,0.795,0,2.276,0,0,0.724
0,1.133,0,0.6,2.414,0,1.338,0.614,0,0,0,0,0,1691.585,0.29,6.748,0,0.843,0.895,0.89,0,1.157,1.081,4.809,2.743,0.738,0
0,0,0,0,0,0,0,0.605,0,1.771,0.567,0.986,4.138,215.421,0,0.171,0,0,0,0,0.586,0,0.833,0,5.271,1.167,0.757
0,0.857,0,0,1.676,0,0.405,1.029,0,0,0,0,0,268.616,0,-0.048,0,1.348,0,2.881,0,0,0.69,0.719,3.862,0,0
0,0,0,1.633,0,0.562,0,0,-0.005,0,0,0,0,385.415,0.81,0,0,1.062,0,0,0,0,0,3.152,0,0.686,0.005
4.4,0,1.305,0,0,0.548,0.229,0,0,0,1.543,0.19,0.343,412.543,2.633,0,0,0,0,0,0.695,0,1.919,0,0,2.495,1.329
0,0,1.733,0.39,0,0,0,0,0,0,0.914,0,0.395,351.739,0,0,0,0,0.567,0,1.024,0,0.567,0,1.452,0.538,0
0,0,0.3,0.838,3.162,0.929,1.776,0,0,0,0.619,0,0,1337.428,2.343,1.067,0.2,0,1.09,1.152,0,0,0,0,3.124,0,0.91
0,0,0,0,0,1.452,0,1.695,0.01,1.538,0,0.867,0,577.384,1.219,0,0,2.033,0,0,1.771,0,0,0,2.386,0,0
0,0.771,1.114,0,0,0,0,0.505,0,0,0.124,0,2.619,5687.108,-5.209,-1.471,0,0.8,0.376,0.681,4.238,1.019,0.124,1.443,3.881,0,0
0,2.076,0,0,0.276,1.929,0,0,1.219,0,0,1.643,1.376,846.771,0.871,1.876,0,2.609,1.352,0.857,0,0.176,0,0,0.505,0.276,1.314
0,0,0.157,0,0.076,0,0,0,0,0,0,0,1.248,1064.569,-0.024,2.514,0,1.648,1.59,0,2.238,0,3.881,0,0,0,0.771
0,0.467,0,0.343,0,1.967,0.748,0,0.914,0,0,1.786,0,408.062,0,1.333,1.071,0.338,0,0,0,0,0,0,1.233,0,0
-0.029,0.533,0,1.157,0,1.133,0,0,0.595,0,1.995,0.614,0,267.849,0.571,0.829,0.019,2.462,0,0,0,0,1.467,1.076,0.576,0.9,2.6
0.443,1.39,0,0.848,0,0.4,1.186,0,0,0,0,0,0.69,775.601,2.714,2.052,0,0.848,0,1.733,0.486,1.933,0,5.233,2.333,0,0
0.405,0,0.371,0,0,1.381,0.6,0,0,0,2.724,0,0,336.577,0,0,0,0.048,0,0.695,1.286,0,0,0,0.752,0.538,0.5
1.633,0,0.371,0,0,0,0.6,0,0,0,0.605,0,0,1253.348,1.471,1.762,0,1.452,0,0,3.324,0,0,0,0.381,0,0
0,0,0,0,1.481,0,0,1.519,0,0.529,0,0,1.1,755.844,-0.062,0.633,0,0.719,1.086,0,0,0.567,0,0,1.833,0,0
0,1.571,2.286,0,0,0.262,0.686,0,0.476,0,0,1.124,0.8,1878.531,4.076,0.8,0.1,0,0.848,0,2.671,0.71,0.429,4.462,3.438,0,0.071
0.6,0,0,0,0,0,0,0,0,0,0.314,0,2.029,164.06,0,0,0,0,0,0,0,0,0,2.39,0.852,0.843,0
0.605,1.614,0,0,1.048,0.462,0,1.776,0,0,1.338,0,2.552,201.512,0,2.633,0,0.552,1.405,0,1.662,0,0,0.224,3.048,0,0
1.805,2.024,1.652,0.529,0,2.962,0,0,0.952,0,0,0.019,-0.014,840.6,1.586,2.138,0.895,0,0.39,0,0,0,0,0,2.605,0,0
0,0.729,0,0.457,0.519,1.767,0,0,0,0.2,0,0,0.371,203.979,1.748,0.9,1.624,0,0.357,0,0,0.905,1.262,0,0,0,2.933
0,0,0,1.419,0.729,0,2.095,0,0,0,0.195,0,-0.033,344.591,1.69,0,0,0,0,0.543,0.529,0,0.362,0,0,0,2.9
0,0,1.071,0,0,0,0,0,0,0,0,0,1.352,2001.782,-0.014,0,0,0.681,0.871,1.371,0.938,2.414,0,4.071,0,0,0
0,1.081,0,0,1.081,0,0.552,0,0.238,0,0,0,0.733,528.518,0.348,1.048,1.771,0,0,0,0.857,0,0,0.029,1.581,1.514,0
0,1.333,0,1.176,0,0,2.543,0,0,0.6,0.424,0,0,143.579,0,0,0,0,0,0,0,0,0.676,-0.038,0,3.1,2.867
0,0,0,0,0,0,0.833,0,0,0,0,0,0.771,133.189,0.186,0,0,0,0,0.752,0.057,0,1.048,1.314,0.443,0,0
0.419,0.933,2.395,0.5,1.657,0,0,4.295,0,0,0,0,0,376.548,2.176,1.948,0,0,0,1.252,0,0,1.976,0.476,0,0,0
0,0.819,0,0,0.781,1.51,0,2.224,0,0,1.938,0,0.31,358.986,1.381,0,0,0,0,1.11,0,1.195,0,0,4.519,0.448,0
0,0,0,0,0,2.276,0.91,-0.033,0,0.6,0,0,1.229,300.411,0.586,0,0,0,0,1.695,0,1.8,1.867,0,0.714,1.286,0
0,0,0,0,0,0,0,0,0,0,0,0,0,537.803,0,0.6,2.333,0.748,3.709,0,0,0,0.781,0,0,0,0
2.195,0.338,0,0,0,0,0,0,0,0.005,0.824,1.929,0,791.148,0.762,1.019,0,0,0,0,0.533,0.567,0,3.967,0.81,0,0.457
2.195,0.338,0,0,0,0,0,0,0,0.005,0.824,1.929,0,791.148,0.762,1.019,0,0,0,0,0.533,0.567,0,3.967,0.81,0,0.457
0.052,0,0,0,5.671,2.048,0,0,1.3,0,1.867,0.705,1.938,2977.147,0.657,0,1.529,2.248,1.457,0,3.709,0.852,0,3.171,4.181,0.3,0.481
0,0.614,0,0,0,0,0,0,0,2.2,0.995,0,0.01,311.658,0,0.695,0,0,1.376,0.571,0,1.062,1.129,1.438,0,1.286,0
0,0,0,0.824,0,3.195,1.69,0,0.276,0,1.243,0,0.657,1312.309,0.333,2.424,0,0.771,3.062,0.31,0.952,0,0,0,1.495,0,0
0.738,0.838,0.052,0,0,0.805,0,0,0.181,0.61,0,1.886,0,360.601,0,0,1,0,0,0,0,0,0,0.162,1.238,0.771,0
0,0,0,2.648,2.386,0.895,0,0.519,0,0,0,0.562,0,174.046,1.324,0,0,1.571,0,0,2.733,0,0,0.819,0,0.767,0
0,0,0,0,0,0,0,0,0,1.381,0.924,0,0.443,1023.317,0,3.319,0.129,0,0.848,0.443,2.638,0.395,0,2.543,2.681,0,1.871
1.729,0,0,0,0,0.048,0.276,0.248,0,0,0,0,0,1020.012,1.3,0,0,1.114,2.519,0.895,0,0,0,0.881,1.01,0,1.6
0.476,0,0.995,0,1.771,0,1.024,0,0.724,0,0,0,0,104.504,0,0,0,0,0,0,0,0.41,0.543,0.771,1.729,0,0
0,2.709,0,0,0,0,1.024,0,0,0.8,0,0,0,823.51,1.438,0,0,0,0,0,0,0.3,0,0,2.6,1.195,0.543
0,0,0,0,0.39,0.543,2.205,1.076,0.857,0,0.962,0.233,0.876,764.006,0.033,0.31,0,0.581,0,0,1.157,0.605,0,0.781,4.333,0,0
