25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0.186,0,0,0,0,0,0,0,0,1.557,0,0,1.086,516.613,2.567,0,2.419,0.357,0,0,2.105,0,1.229,0.462,0,0.819,0.6
0,0,0,0,2.319,0.486,0,1.533,0.471,4.229,0,0,0,443.405,0,0,0,0,0,0,0.533,0.948,0,3.543,1.057,0,0
0,0,0,0.971,0.424,0.229,0,0,0,2.129,0,0,0,94.947,0.033,0,1.424,0,0,1.195,0,0,0,2.195,0,0,1.457
0,0,0,0,0,0.99,0,0,0,0.881,0,0,0.029,624.007,3.876,0,0.271,0,0.571,0.371,0,0,0.443,1.6,1.195,0,0.81
0,0.2,0.648,0,0.257,0,0,1.048,0.69,0,0,0,1.614,448.714,0,0,0,0.424,0,1.714,1.819,0.795,0,0.895,2.548,0.805,0
0,0,0.457,0,0,0,0,0,0,0,0,0,1.719,1065.283,0,0,2.105,1.343,0.89,0,0,1.067,0,2.238,3.705,1.062,1.367
0,0,0,0,0,1.505,0.481,1.457,1.81,1.533,0.705,0,0,403.7,0.095,0,2.352,1.81,0,1.738,0,2.229,0,0,1.876,0,0
0,0.99,0.59,0.586,0,1,1.552,0,0,0,0,0,2.3,1043.679,1.281,-0.038,0.419,0,0,0.271,2.5,0,0,2.967,0,0,0.548
0,0.281,0,0,0.029,2.219,0.914,0,0,0,0.41,0.005,0,1351.79,0.49,0,0.324,0.771,0,2.538,6.933,1.919,0,0,0,0,0
0,0.452,0,0.286,1.186,0.971,0,0,0.367,0,0,0,0,130.203,0,0,0,0.514,0,0,0,0,0.11,3.262,0,0.676,0
0,0,0,1.614,2.238,0,0,0,0,0,0,0,0.69,1359.956,1.095,0.048,0,0,0,1.038,0,0.819,0,2.19,1.281,1.457,0
0,1.305,3.043,0,1.276,1.414,0,0,0,0.029,0,0,1.51,554.96,0,0.452,0,0,0,0,0,3.962,0,0,0.529,0,0.719
0,0,0,0,0,1.281,0,0,0,-0.005,0,0,1.862,955.07,3.124,0,0.61,0.305,0,0,0.352,0,0,1.319,4.243,1.519,0.295
0,0,1.019,0.943,0,3.357,0,0.519,0,0.719,0.319,0,0.048,639.421,0.162,0,0,0,0,0,2.467,1.195,1.167,1.01,0,0.424,0
0.6,0,0,0,0,0,0.7,0,0,0,0,0,0.324,398.286,1.243,0.062,1.029,0.981,1.043,0,1.114,0,0,0.776,-0.005,0.362,0
0,0,0.662,0,0,1.967,0,0.59,0,0.143,0,0,0,114.508,0,0,1.076,0.662,0,0,0,0,0,0,0,0,0
0,0,0,1.462,0,0.705,0,0,0,0,0,0,0,198.788,1.486,0,1.043,0,0,0,0,0.19,1.643,2.062,0,0,0
0.667,1.129,1.319,0.943,0,1.376,0,0.081,0,0.386,1.981,0,0.343,807.777,1.367,0,0,0.695,0.443,0,0,0,0.929,0,0.562,0,0
0,3.614,1.267,0.633,0.4,0,0.905,0.643,1.371,2.314,0,0,0.724,168.736,0.629,0,0,0,0,0,0,1.267,0,1.286,0.938,0,0
0.271,1.024,0,0,0.514,0,0,0.057,0,0,0,0,0,419.457,0.552,3.343,0,0,0,0,1.057,0,0,0.671,0,1.605,0.467
1.295,0.971,0,2.767,0,3.414,0,0.029,0,0,1.41,0,3.819,2502.529,0.729,0,0,2.762,0,0,0.576,1.362,0,0.948,3,0,0
0,1.419,0,3.129,0,0,1.486,1.01,1.086,0,0.614,0,0.267,1995.968,0.505,0,0.686,2.105,0.838,0,0.695,0.7,2.709,4.138,0,0,0.338
0.705,0,0,0,0,0.805,0.79,0,0,0,1.738,0,0,217.417,0,0,0,1.943,1.338,1.605,0,0.571,0,0,0,0,0.638
1.414,0,0,0,0.181,0,0,0,0,0,0,2.933,0,319.982,1.324,0,1.319,0,0,1.905,0,0.376,0,0,2.2,1.838,0.09
0,1.395,0.61,0.914,1.814,1.624,0.681,0.219,0,0,0,0,0,1319.742,1.581,3.538,0,0,1.286,0,2.667,0.495,0,0.829,1.01,0.8,0
1.857,4.257,0,0,0.486,1.229,0,0,1.629,0,1.333,0,1.152,333.496,0,0.7,0,0,0,0,0,0,0,0.676,1.248,2.357,1.024
0,0,0,0,0,1.005,0,0.919,0,0,0,0,0,677.178,0,0,0,1.09,0.167,0,1.91,1.705,1.505,0,0,0,1.671
0,0,1.157,2.752,0,0.51,2.548,0,0,0,0,1.2,0,88.928,0,0,0.662,1.29,0,0.471,0.857,0,0,0,0,1.433,0
0,0.89,0,0,0,0.99,0.719,0,0,0,0.467,0,0,226.816,0.533,0,0.767,0,0,0,1.814,0,0,0,2.771,0,0.524
0,2.043,0,0,0,0,0.876,0,0,0.614,0,0,0.905,332.849,0.819,0,0,0,1.91,0,3.609,0.352,0,0,0.7,0,0
0,0,0,0.857,0,0,0.438,0.867,0,0,0,0,0,118.389,0.314,0,0,0.567,1.1,0,1.419,0,1.819,0.862,1.824,0,0
0,1.829,0.871,0,0,2.862,0,0,0.614,1.538,0,0.743,0,326.506,0,1.224,0,0,0,1.329,0,0,0,0.652,2.329,0,0
1.305,0,0,1.91,0.276,3.071,0,0,0,0,0,0,1.229,920.747,1.267,0.919,0,0.024,0.51,0,1.462,0,0,1.448,4.538,0.024,0.31
0,0,0,0,0,0.7,0,1.876,0,0,0.79,0,0.724,930.351,0.605,1.486,0,0.51,1.038,0,1.7,3.305,0.338,0,0,0,1.067
0.762,1.276,0,1.105,0,0.638,0,0.452,0,0,0,0,0,317.411,0.552,1.61,0,0,0,2.314,0.514,0,0,1.271,0,0,0.943
0,1.452,0,0,0,0.205,0.533,2.186,0,0,0,0,0,98.832,0,0,0,0,0,0,0,1.552,0.457,0.976,0,0,0
0,1.971,0,0.805,0,1.995,0,0,0.681,0,0,0,1.152,1018.222,0.3,1.71,0,2.162,2.681,0,0,0,2.267,0.6,5.719,0,1.071
0,0,0,0,0,1.767,0.005,0,0,0.49,0,0,0,103.761,1.69,0,0.543,0,0,0.971,0,0,1.786,0,0,0.252,0
2.014,0,0,0.057,0,1.419,0.705,0,0,0,0,0,0,1039.955,0.571,0,0.648,0,0.695,0,1.133,0,0.8,0,0.338,1.548,0
0,0,1.486,0,0,0,0,0,0,0,0.776,0,1.976,992.608,0,-0.129,0.181,0.524,0,0,1.662,0,0.176,0,2.495,1.31,0.971
0,0.443,0,0.505,0,0,0.371,0,0,0,0,0,1.738,606.441,0.19,1.39,2.148,0,0.714,0.51,0,1.305,0,0.862,1.086,1.71,0
0.238,0.533,0,0,0,5.233,0,0,0,0,0,0,0,985.46,0,0.805,0.624,1.524,1.276,0,2.195,0.924,0,1.224,2.614,0.519,0
0,0,1,0,0,0,0,0,0,0,0,0.186,0,147.498,0,0.033,0,0.824,0.657,0,0,0.781,0.452,1.6,0,0,0
0,0,0.595,1.238,1.776,1.09,0,0,0.133,0,0.133,0,0.49,1141.13,2.071,0.243,0.014,0,0,0,2.052,0,0,0.843,1.638,0,0
0,0.829,0,0,0,0,1.51,0,0,0,0,0,0,520.346,1.21,0.562,0,1.333,0,0,0,0,0,1.333,2.057,0,0
0,0,3.524,0.733,0,0,0,0,0,0,0.157,0,0,217.602,1.219,2.086,0,0,0,1.133,0.681,0,0,0,0.843,1.167,0
0.671,0,0.562,0,1.81,0,0,0,1.767,0,0,0,0.748,980.775,0.071,2.905,0,0,0.4,0,0.976,0,0,0.957,0,0,0
0,0,0,0,0,1.038,0,0,0,0,0,0,0,301.216,1.114,0,-0.014,-0.014,0,0.9,0,0,1.9,0.31,0,0,0.786
0,0.4,0.581,0,0,0.652,0,0,0,0,0.648,0,2.714,207.926,1.714,0,2.205,0,0,1.205,0.438,0,0.743,1.976,0,1.605,1
0,0.867,1.014,0,0,1.948,0.414,2,0,0,0,0,0.033,137.237,0,0,1.129,0,0,0.4,0,0,0,0.505,1.695,0,0
0,0,0,0,1.557,0.61,0,0,0,0.686,0,0,0,200.693,3.186,0,0,0,0.857,0,1.614,0,0,2.219,0,0,0
0,0,1.19,0.305,-0.067,0.805,0.79,0.876,0,0,0,0.176,1.014,1580.358,-0.167,0.414,0,0,0,0.362,1.557,0.567,0,0,3.938,0.586,0
0,0.438,2.114,0.476,1.357,1.219,1.205,0,0.467,0,0,0,0,933.389,1.286,0,0,0,0,0,0.21,0,0,0.738,0.524,0,0
0,0,0.343,0.029,1.371,0,0.305,0.552,0,0.49,0,0,0,216.583,0.724,1.848,0,0,0,0,2.071,0.767,0.829,0,0,0,0
0,0,0,0,0,3.667,0.529,0,0,0,0.619,0,3.29,1080.135,6.143,0,0,2.114,0,0,4.295,0,0.505,0.171,0.943,0.629,0
-0.043,0,0,0,0,0,0,0,0,0,0,0,0.171,1546.859,1.229,1.11,1.557,2.133,0,0,5.414,0,0,0.452,0.748,0,0
1.148,0,0.614,0,0.919,0,0,0,1.5,0,0,0,0.69,281.235,1.695,0.238,0,0.224,0,0,0,0.457,0,0,0.833,0,0
0.314,0,0,0.49,0,2.781,0,0,0.271,0,0,0,0,90.347,0,0,0.729,0,0,0,0,0,0,2.781,1.348,0,1.657
0.51,0.757,0,0,0,0,0.738,0,0,2.057,0,0,0,113.832,0,1.062,0,0,0,0,0,0,0,4.657,0,0.819,0.952
0,0,0,0,1.581,0,1.41,1.081,-0.052,0,0,0,0,1047.941,0.938,1.9,3.262,0.362,1.486,0,0.81,0,0,2.452,2,0,0
0,0.21,0,0,0.233,0,0,0.814,0,0.533,0.41,1.243,0,749.134,2.071,1.776,1.352,0,0,0,0.329,0,0,0.2,0,0,0.452
0.657,0.529,0,0,-0.005,3,1.276,0,0,1.824,0.919,0,0,682.197,1.438,0.571,0,1.195,0,0,2.124,0,0,0.919,0.738,0,0
0.71,0,0,0,2,0,1.114,0,0,0.757,0,-0.029,0,258.378,0.595,0,1.595,1.967,0,0.762,0,0,0,0,2.157,1.452,0
0,1.571,0,0,0,0.686,0,1.681,0,0,0,0,0.024,296.992,0,1.143,0,2.157,1.157,1.414,0,0,0.848,0.962,0.29,0,0
0,0,0,0.476,0,1.848,2.067,0,1.481,0,0,0.905,0.438,436.833,3.081,0,0.829,0,0,0,0,0,-0.01,0.19,0.695,2.467,0
0,0,0,0.91,0,0.91,1.5,0.319,0,0,0,0.738,0.233,370.781,0,0,0,0,0,0,3.238,0,0,1.462,1.862,0,1.738
0,0,0.857,0,0.495,1.157,1.781,1.614,0,0,-0.01,0.795,0,194.126,0.59,0.967,0.876,0.705,0,0,1.467,0,0,0,0,0,0
0,0,0,0,0,0,0.619,0,0,0,0,0,0,238.864,2.533,1.019,0,0,0.095,0,1.019,0,0,0,0,0.838,0.876
0,0.81,0,0,0,0.99,0,0,0,1.6,0.038,0,0,174.531,0.548,0,0,0,0,0,2.695,0,2.143,0,0,1.91,0
0,1.352,0,0,0,0,0,0,0,0,0.667,0.852,0.952,1813.332,-0.329,0.957,0,0,0.538,0,3.243,0,3.329,1.576,1.91,0.633,0
0,0,0,0,0,0.824,0,0,0.2,0,0,0,0,2210.794,2.081,0,0,0,0,0,6.452,0,0,4.509,4.648,0,1.514
0,0,0,2.8,0,0.762,0,0,0.867,0,0,0.862,0.976,1025.284,0,0.938,2.443,0,0.39,0,0.638,0.229,0.257,0.781,1.667,0,0
0,0,0,0,0.681,0,0,0,0,0,0,0,1.186,4214.885,-1.805,0.262,-0.51,2,2.157,0.429,0.257,0,0,1.419,2.038,0,0.167
0,0,0,0,3.886,0.633,0,1.7,0,0,0,0,1.333,95.927,0,0,1.971,0,0.629,0.595,0,0.41,0,0,0.59,0,0
0,2.252,0.762,2.609,0,0,0,1.443,0,0,0.724,0,0.548,351.353,0,0.595,0,0,0.795,0,1.019,0,0.619,0,0,0.914,0
0,0,0,0,0,2.09,0,0,0,0,0.467,0,0,223.664,0.81,0,0,1.624,0,0.467,0,1.938,0,0.386,0,0,0
0,0,0,0,0,1.633,0,0,1.614,0,0,3.99,1.805,1263.195,1.324,0.51,1.21,0,1.51,0,4.105,1.1,0,0,0,0,0.424
0,0,0,0.524,0.362,1.676,4.424,1.529,0.805,0,0,0,0,620.636,0,0.805,1.224,2.633,0.186,0.938,0,0,0.243,2.314,1.714,1.014,0
0,0,0,0,0.514,0,0,0,0,0,0,0,3.352,1520.659,0.919,0.71,0,0,1.881,0,1.486,0,0,1.305,2.252,0,0
0,0,0,0,0,0,0,0,0,0,0,1.162,0.467,903.937,1.348,0,1.786,0.943,0,0.681,0.61,0,0,0,1.471,0,0.9
0,1.767,0,1.348,0,0,2.081,0,0,0.586,0,0,0,62.275,0,0.943,0.71,0,0,1.895,0.662,0,0,0,0,0,0
0,0,0,0,3.4,0,0,0.229,0.914,0,0,2.648,0,924.389,0.676,0.652,0,0,0,0.771,1.857,0.924,0,0.933,2.319,0,0
0,0.724,1.243,0,0,1.562,4.614,0,0,0,1.6,0,0,289.173,0.933,0.929,0,0,1.443,0.481,0,0,0,0,0.986,0,0.69
0,0,2.633,0,0.695,0,0.305,0,0,0,0,1.452,0.729,245.521,0,1.586,1.781,0,0,0,0.452,0.562,0,0,1.2,0,0
0,0,0.633,0,0,2.438,0,0.524,0,0,0.767,0,0.548,360.763,1.057,0,1.771,0,0,0.805,0.3,1.871,0,0,0.833,0,0
0,0,0,0,0,0,0,0.543,0,0,0.271,0,1.333,540.489,0,0,0,0.676,2.319,0.01,0,0,0,0,0,2.005,0.686
0,1.3,1.114,0,0,0,1.205,0,1.424,0,0,0,0.681,600.036,0,0,0,1.843,0,0,0,0,0,0,3.081,0,0.6
-0.01,1.3,0,1.19,0,1.819,0,0,0,0,0,0,0,1417.622,0.838,1.176,0,0,0.638,0,0,0.629,0,1.581,1.224,0,0
0,0,2.924,0,1.39,1.329,0,0,0,0,0,0.29,0,243.145,1.529,0.486,0.048,0,1.3,0,0,0,0,0,0,0.895,0
0,0,0,0,0,0,0,0,0,0,0,0,0,458.219,1.371,1.986,0,0,0,0,0,0,0,0.762,0.59,0,0
0,0,0,0,1.057,1.376,2.224,0,-0.024,0.586,0,0,29.733,20896.893,0.681,1.143,-7.909,-2.543,-5.7,-2.333,8.571,-9.328,3.19,-0.214,3.695,1.352,0
0,0,0.462,0,0,0,1.924,0,0,0,1.119,-0.029,1.119,252.311,0.176,0.267,0.01,0,0,0,2.929,0,2.338,0,2.033,0,0
0,0,0,0,0,1.319,0,0,0,0.586,0,0,2.233,1180.939,2.186,0,0,2.709,1.281,0,0.819,1.671,0.586,1.071,1.281,0.571,1.343
0,0,0,0.571,0,0,1.01,0,0,0,1.429,0,0.49,636.526,0,0,0,0.676,0.89,0,0.543,0,0.671,0,0.381,0.833,0.414
0,0,0,1.562,0,1.019,0.286,0.586,0,0,0,1.162,0,94.927,0,0,0.895,0,0.605,0,0,0,0,0,3.552,0,1.386
1.371,0,0.824,0,0,1.433,0.595,0,0,0,3.043,0.738,1.681,233.659,2.614,0.171,0,0,0,0.552,0.386,1.99,0,0,0,2.848,0
0,0,0,0,0,0,0.971,1.714,0,0,2.929,0,2.214,1298.118,0,0.705,0,0.69,0,0.419,0,0,0.619,0,0,1.276,0
-0.057,0,0,0,0,2.752,0.357,0,0,0,0,1.381,0,159.122,0.333,0,0.724,0,0,0,-0.014,0,0,0,0,1.214,0
0,0,0.933,3.552,2.281,1.733,0,0,0,0,0,0,0,390.576,6.062,0.557,1.071,0,0.976,0.781,0.957,0,1.967,0,1.405,0,0.948
0,0,0.605,0,0,0,0,0,0.738,0,0,0,0,150.279,1.443,0,0.386,0,0.914,0.557,0,0,0,0.176,0,0,0.724
0,0.257,0,0.762,1.781,0,0,0,0,0,0,1.429,1.133,2141.566,0,1.129,0.91,0.424,0,0,2.89,2.79,0,1.676,3.686,0,0
0,0,0,0,0,4.733,0,0,0.495,0.219,0,0,0,469.214,0.433,1.957,0.929,0,0.457,0,1.943,0,0,0,1.148,0,0
0,0,1.514,1.214,0.305,0,0.895,0,0,0,1.452,0.571,0.795,1120.306,0.41,1.705,0.262,0,0,0.89,1.89,0.481,0,3.4,5.786,0.01,0
0,0.614,0,0,0,0,0.571,0,0.024,0,0.971,0,0.224,510.147,1.019,0,1.076,0,0,0,0,0,3.257,0,0.6,1.543,0
0,0,0,0,0.114,2.924,0,0,0.805,0,0.852,1.286,0,238.554,0.643,0,0,1.876,1.062,1.538,0,0,0,0,0,0,0
0,0,0,2.019,0,0,0,0,0,0,0,0,0,691.121,1.938,1.314,0,0.743,0,0,0,0,0,0.876,5.457,1.062,0
0,0.052,0,1.238,0,1.224,0.514,0,1.429,1.271,0.786,0,0,409.591,1.162,0,0,0.233,0,0,0.624,1.414,0,0,0,0,2.3
0,0,0,0,0,0.743,0,0,0,0.495,0,0.467,0,376.881,0,0.995,0.11,0.414,0,0.748,1.71,0,0,0,0,0,0
0,0,0,0.543,0,1.581,0,0,0,0,0,0,1.052,1101.135,0,0,0,0.514,0.9,0,0.624,0,1.976,4.786,0.767,0,0
0,0,0,2.371,1.486,0.629,0,0,0,0,0,0.571,1.481,165.15,1.257,0,0,0,0,0,0,0,0.724,0,1.229,1.995,1.648
0,0,0,0,0,1.5,0,0,0,0.876,1.076,0,0,111.813,0,1.114,0,0,0,0,0,0,0,1.138,0.51,0,0
1.824,0,0,0,0,0.49,1.31,1.395,0.805,0,0,0,0,187.141,0,1.081,0,0,0,0.762,0,0,0,0,0,0.567,0
0,3.581,0,0,0,1.076,0,-0.014,0,0,1.024,0,0,43.795,0,0,0,0,1.648,2.448,0,2.109,0.933,0.01,1.138,0.31,0.762
0,0,1.395,0,2.609,1.738,0,0,0,0,0,0,0,104.827,0.852,0,0.7,0,0,0,0,0,1.567,0.624,0,0.762,0
0,0,0.486,0,0,1.543,1.376,0,0.771,0,0,0,2.29,471.842,1.148,0,0.529,0,1.762,0,0,1.452,0.424,3.624,0,0,0
0,0,1.176,0,0,0.305,1.271,0,0,0.495,0,0,0,989.008,3.748,-0.119,1.529,0,0.681,1.4,0.143,-0.067,0,0,0,0,0
0,0,0.657,0.31,0,0,0,0,0,1.61,0,0.329,0,515.485,1.424,0,0.971,0,0,0,1.176,0,0,1.267,0.6,0,0
0,0,0,0,0,2.276,0,0,0,0,0,0,0.286,94.713,0.981,0,0,0.871,0,1.871,0,0,0,0.21,0,1.6,0
0,0,0,0.31,0.033,1.09,0,0,0,0,0.905,0,0,400.634,0,0.467,0,0.41,0,2.357,0,0,0,1.805,1.581,0.743,0
0,0,1.457,0,0,0,0,0,0,0,0.4,1.343,0,286.544,0,0,1.048,0,0.605,0,1.519,0,0,1.39,0,0.705,3.267
0,0,0,0.743,1.405,0,1.095,0,0,0.843,0,0,1.543,123.894,3.8,0.424,0.8,0,1.538,0,0,0,0,0,1.329,0.21,0
0,0,0,0,0,2.443,0,0.757,0,0,0,0,0,653.907,0,1.262,0,0.99,0.586,0.281,0.529,-0.019,1.652,1.224,2.157,0,0
1.3,0.633,0.529,0.019,1.619,0.752,0,0,1.614,0,0,0,0,197.179,1.305,0,0,0.981,4.609,0,0,0,0,0.571,2.633,0.49,0
0.629,1.348,0,4.024,0,0,0,0,0,1.49,0,1.538,0.9,393.857,0,0,0.733,1.743,0,0,0.681,0,0,0.986,4.757,0.41,0
0,0,1.1,0,0,0,0,0.267,0,0,0,0.705,0,62.437,-0.057,0,0.39,3.224,0,1.243,2.267,1.857,1.105,0,1.552,0,0.324
1.314,0,0,0,0,0,0,0.662,0,0,0,0,4.709,707.364,0.79,2.662,3.19,0.9,0.243,0,0,0,0,0,0.843,0,0
0,0,1.067,0,0,0,0.948,0,0,1.081,0,0,0,244.164,0,1.638,2.067,0,0.957,0,0,0,0,0,2.6,0.643,0.533
0,0,0,3.405,0,0.752,0.248,0,0,0,0,1.176,2.267,312.244,2.171,1.043,1.214,0.957,1.233,0,0,0.819,0,0.814,0,0,0.486
0,1.486,0,0,0.9,2.043,0,0,1.757,0.5,0.224,0.548,0,407.272,0.757,1.019,0,0,0.524,1.205,1.69,0,0,0,0,0,0
0.981,0,0.857,0,0,0.219,2.748,0,-0.005,0,0,0,1.848,758.944,2.248,0,3.009,0,1.148,0,2.195,0.676,0,0,4.795,0.2,0
0,0.657,0,0.614,0.876,0,0,1.581,0,0.6,0,0,2.638,564.784,3.305,-0.005,0.533,0,0.252,0,1.219,0,1.314,1.881,0,0,0
0,0,0,0,0,1.095,0,0,0,0,3.262,1.419,1.79,307.525,0,1.476,0,0.638,0,0,0,0,0,0,3.79,1.271,0
0,0,0,0,1.205,0,1.057,0,0,0,0,0,0,548.87,0.876,5.109,0,0.014,0,0,1.39,1.105,0,0.957,1.062,0,1.729
1.919,0,0.614,0,0,0,0,1.433,0,1.729,1.995,0,0,638.831,2.29,0,1.69,0,1.967,0,2.038,0.414,0,1.267,2.119,0,0
0.038,1.39,1.581,0,0.805,2.229,0,0.995,0,1.09,0,0,0.552,357.22,0.405,0.548,0.257,3.667,0,0,0,0,0,0,0.105,0.89,1.886
0.405,0,3.071,1.395,0,0.21,0,0,0.29,0,1.214,0.448,0,1239,-0.029,3.276,2.524,0,0,0.752,2.39,0,0.19,0.714,3.157,0.514,0.538
0,0.562,1.929,0,1.124,2.038,0,0,0,1.076,0.376,0,-0.024,148.927,0.305,0,0,1.276,0,0,0,0,0,0,0.129,1.276,0
0,1.31,0.876,0,0,0,0.519,0,0,0,0.757,0,0.79,135.875,0.481,0,1.381,0,0.005,0,1.171,2.548,0,0.233,-0.005,0,1.524
0,0,1.305,0,0,0,0,0.419,0,0,0,0,0.795,236.34,0,0.51,0,0,1.833,1.662,0,0,0,0,0,0.081,1.376
0,0,0,1.1,0,1.881,0.057,-0.057,0,0,0,0,0,413.795,1.633,3.138,0.676,0,0,1.952,0.876,0.89,1.543,0,3.738,0,0
0,0.505,0.938,0,0,0,0,0,0.8,0,0,0,0,707.83,-0.267,0.229,0,0,0,0,1.695,0,0.719,0.314,1.171,0,0
0,0.405,0.01,0,0.276,1.519,1.105,1.662,0,0,0,0,0,1454.222,0.257,0,0.862,1.09,0.905,1.414,1.448,0,0,2.567,2.7,0,2.362
0,0,0,0.91,0,0,0.414,0,0,0.548,0,0,0.948,629.269,0.871,1.381,0,0.4,0.71,0,0,0,0,0,2.838,0,0
1.271,0,0,0,0,0,0,0,0,0,0,0,0,876.461,0.186,0,2.943,1.624,0,0,1.133,0,0.933,0.876,0.505,0,0
0,1.419,0.443,0,0.562,0.952,0,0,0,0,0,0,0.786,253.93,0,0,2.362,0,0,0.167,0,0.948,0,0,7.262,0,0
0,0,0,0,2.129,0,0,0,0,0,0,0,0,120.599,0.867,0,0,0.348,0,0,0.852,0,0,0.405,0.51,0,0
1.262,0,0,0.552,0,0.21,0,0,0,0,0.452,0,0,170.66,1.281,0,0,1.319,0,0,0.476,0,0,0.171,1.033,0,1.2
0,0,0,0,0,0,0.905,0,0,0,0,0.652,0,549.879,0.619,0,0,0,0.548,0.514,2.381,0,0,1.505,2.029,2.448,0
1.276,0,0.01,0,0,0,0,0.219,0.914,0,0,0,0,226.197,0.333,0,0.586,0,0,0,3.281,0,0,0,1.548,0,0
0,0,0,0,1.61,0,0,1.638,0,0,0,0,2.909,498.109,3.657,2.548,0,0.229,0.243,0,0,0,0,0.948,2.448,0,0
0.748,1.105,0.371,0,0,0,0,0,0,2.714,0.362,0,0.548,1156.287,0,3.271,0,1.219,0,0.667,0,0,0,2.143,0,0,0
0.743,0,0,1.519,0.843,0,1.081,1.048,0.914,0,0,0,0,408.138,0,0,3.024,0,0,0,0,0,0,0.005,1.09,0,0.957
0,0,0,0.824,1.995,0,0,1.552,0,0,0,0.886,0,92.766,1.048,0.79,0.01,0,0.576,0,3.5,0.614,0.781,1.295,1.314,0,0.89
0,0,0.31,0.79,0,0,0,1.533,0,0,0,0,0,503.966,0,0,0,0,0,0.843,0,1.252,0,0,0.405,0,0
0,0,0.486,0,0,0,0,0,0,-0.01,0,0,0,373.062,0,0.005,0,0,0,0,1.219,0,1.352,0,1.805,0,2.852
0,1.09,0,0,0,0,1.652,0,0,0,0,0,1.438,1735.505,0,-0.129,0,0,2.8,0,3.171,1.786,0,1.033,4.557,0,0
0,0,0,0,1.476,1.81,1.419,0,0,0,0.114,-0.01,0.281,720.144,0,0.562,0,0,1.067,0,0.89,0,0,0,0.857,0.01,0.886
0,1.133,0.714,0,0.71,0.762,0,0,0,0,0,0,1.095,580.484,-0.024,0.248,0.895,1.038,0,0.614,0.271,1.481,0,0,0,1.5,1.776
0.386,0.495,0.748,0,0,0.295,1.052,0,0,0,0,0,0,1258.838,0,0,1.295,1.41,2.643,0,1.048,0,1.343,2.638,0.6,0,0.619
0,0,0,1.476,0.943,0,0,0.143,1.581,0,0,0,0,74.194,1.052,0.805,0,0,0,0,0,0,2.124,1,0.295,1.286,0
0,0,0,0,0,0,0.176,0.729,0,0.581,0,0,0,681.373,0,3.49,0,0,1.81,0.995,1.124,1.519,0.181,0,3.548,0.448,1.548
0.795,0,0,0,0,0,0,0,0,0,0,0,0,896.857,0.671,0,2.229,1.071,0,0,2.152,0,1.014,1.095,0.633,0,0
0,0,0.99,0,0,0,0,0,0,0,0,0,4.748,813.615,0,0.776,0,1.686,0.695,0.405,1.338,2.9,0,0.743,0,0.338,0
1.981,0.552,0,2.629,0.457,0.167,0,1.219,0,2.376,0,0.848,1.714,231.112,0,0,0,0,0.795,2.871,0.895,0,0.29,0,0.443,0.652,0.657
0,0,0,0,0,0,0.49,0,0,0,0,0,0.633,378.124,3.043,3.586,1.176,0,0,0,0,1.271,1.405,0,0,0,0
0,0,0,1.138,1.576,0,0,0,0,0,0,0,0,679.269,0,0,1.852,0,0,0,0,2.79,0,0.657,0,1.257,0
0,0,0.59,0,0,1.533,0,0,0,0,0,0,0,365.353,0.724,0,0.633,0,0,0,1,0,0,1.357,0.986,0,0
0,0,0,0,0.7,0,2.695,0,0,1.71,0,0,0,529.713,1.424,0.005,0,1.333,0,1.01,0.314,0,2.552,0,1.343,0.448,0
0,0,0,0,0,0,0,0,0,0,0.714,4.376,0,113.284,1.033,0,0.014,0,0,0,0.343,0.957,0,0,1.357,0.386,0
0,0,1.19,0,0,0,0,0,0,0,0.038,0,0,544.703,0.524,2.571,0,0.581,0,0,2.752,0,0.624,3.443,6.609,0,1.276
0,1.729,0.895,2.071,0.986,0,0,0.248,0,0.233,0,0,0,1320.337,1.024,0,1.252,1.681,3.129,0,2.133,0,0,0,1.448,0,1.005
0,0.524,0.652,0,0,1.452,0,0.371,0.648,0,0.695,0,0,1105.716,0.419,1.3,0,0.443,1.638,0,0,0,0,0.705,0,0.6,1.767
0,0,0.795,0,0,0,0,0,0,0,1.148,0,0.671,1454.541,0.614,-0.01,0,1.267,0,0,2.057,1.462,0,0,1.205,0,0
0,0,0.071,0.948,0,0.152,0.852,0.314,0.243,0,0,1.138,0,690.835,-0.176,1.762,0,0,0,0.948,0.762,0,0.543,0.652,2.448,0,0
0,0,0,0.433,3.633,0,0,0,1.762,0,0,2.59,0,1050.317,0.933,0.752,0.038,0,0,0,0,0,0,0,2.338,0,0
0,0.386,0,0,0,0.567,-0.029,0,0,0,0,0.967,0,30.143,0,1.805,1.767,1.143,0,1.367,1.9,0,0.581,1.319,0,0,0.838
0,1.667,2.69,0,0.757,0,-0.005,0,0.795,0,0,0,0,14.971,1.529,0,0.89,0,0,1.929,0,0.281,1.562,2.571,0,0,0
0.014,0,0,1.076,0,4.076,0,0,0,0,0,0.538,0,1572.939,0.481,0,2.681,0,0.405,1.61,0,1.324,0,2.733,3.067,0,0
0,0,0,2.652,0,2.005,1.519,0,2.324,0,0,0,3.667,94.204,1.143,4.705,0.243,0,0,0,3.719,0,0,3.933,0,1.567,0
