,140Ce,natural_class_proba
0,53.723,0.712139618825
1,43.285,0.868830916871
2,14.567,0.959705805375
3,23.119,0.983225788881
4,8.567,0.976492831111
5,8.843,0.99740218093
6,7.862,0.997801096085
7,12.181,0.986669847101
8,10.609,0.998190415722
9,8.095,0.997801096085
10,7.181,0.999673316231
11,10.2,0.998190415722
12,10.681,0.998190415722
13,13.79,0.975693396384
14,9.5,0.99740218093
15,6.281,0.950013518459
16,6.067,0.986128383247
17,5.771,0.972464553592
18,12.052,0.986669847101
19,7.743,0.997801096085
20,37.033,0.90535839157
21,27.024,0.983222741112
22,29.876,0.983222741112
23,46.795,0.899929566131
24,6.095,0.986128383247
25,10.505,0.998190415722
26,9.786,0.99740218093
27,11.8,0.986669847101
28,28.343,0.983222741112
29,9.509,0.99740218093
30,12.719,0.986669847101
31,56.928,0.64454208875
32,49.404,0.898124534118
33,5.709,0.972464553592
34,6.843,0.999746279568
35,8.757,0.976492831111
36,5.924,0.986128383247
37,6.376,0.997685009838
38,9.986,0.998190415722
39,12.328,0.986669847101
40,13.214,0.975693396384
41,8.619,0.976492831111
42,6.795,0.999714815578
43,43.085,0.868830916871
44,10.105,0.998190415722
45,8.919,0.99740218093
46,62.756,0.622129980188
47,6.081,0.986128383247
48,21.471,0.945929454967
49,7.552,0.959350990361
50,7.033,0.999673316231
51,9.609,0.99740218093
52,5.881,0.986128383247
53,8.428,0.997801096085
54,63.761,0.597243303337
55,7.576,0.959350990361
56,9.357,0.99740218093
57,42.233,0.868830916871
58,6.086,0.986128383247
59,11.733,0.981299800902
60,11.524,0.995281662302
61,6.314,0.997685009838
62,12.295,0.986669847101
63,42.219,0.868830916871
64,11.695,0.995281662302
65,10.186,0.998190415722
66,74.161,0.485997683917
67,9.381,0.99740218093
68,8.295,0.997801096085
69,6.138,0.986128383247
70,26.166,0.969133413593
71,9.138,0.99740218093
72,10.214,0.998190415722
73,19.957,0.976217543478
74,5.729,0.972464553592
75,16.081,0.983936626253
76,21.99,0.945929454967
77,23.562,0.983225788881
78,23.943,0.983225788881
79,24.276,0.983225788881
80,8.467,0.948060035073
81,24.566,0.983225788881
82,6.238,0.950013518459
83,10.133,0.998190415722
84,5.857,0.986128383247
85,6.162,0.986128383247
86,6.062,0.986128383247
87,8.257,0.997801096085
88,61.342,0.647085916201
89,73.999,0.485997683917
90,27.604,0.983222741112
91,5.981,0.986128383247
92,18.647,0.976217543478
93,23.043,0.983225788881
94,9.843,0.99740218093
95,15.386,0.983936626253
96,6.886,0.999746279568
97,19.795,0.976217543478
98,11.728,0.981299800902
99,13.647,0.975693396384
100,58.966,0.647085916201
101,9.405,0.99740218093
102,7.514,0.959350990361
103,9.109,0.99740218093
104,15.809,0.983936626253
105,6.3,0.950013518459
106,5.819,0.972464553592
107,6.338,0.997685009838
108,6.471,0.999755585961
109,6.376,0.997685009838
110,34.514,0.878238871411
111,6.2,0.986128383247
112,29.776,0.983222741112
113,7.919,0.997801096085
114,12.871,0.986669847101
115,14.19,0.975693396384
116,9.252,0.99740218093
117,8.271,0.997801096085
118,6.224,0.950013518459
119,8.914,0.99740218093
120,7.719,0.997801096085
121,6.457,0.999755585961
122,9.867,0.99740218093
123,8.205,0.997801096085
124,9.581,0.99740218093
125,6.09,0.986128383247
126,17.424,0.96346128221
127,5.986,0.986128383247
128,9.005,0.99740218093
129,8.714,0.976492831111
130,11.247,0.998190415722
131,12.357,0.986669847101
132,49.671,0.898124534118
133,25.062,0.969369803604
134,9.948,0.998190415722
135,10.909,0.998190415722
136,7.3,0.999673316231
137,11.857,0.986669847101
138,6.89,0.999746279568
139,7.557,0.959350990361
140,5.99,0.986128383247
141,7.981,0.997801096085
142,24.266,0.983225788881
143,10.809,0.998190415722
144,10.324,0.998190415722
145,6.609,0.999755585961
146,11.152,0.998190415722
147,5.729,0.972464553592
148,11.457,0.995281662302
149,9.095,0.99740218093
150,29.233,0.983222741112
151,7.614,0.959350990361
152,7.224,0.999673316231
153,26.366,0.967847314117
154,9.876,0.99740218093
155,13.671,0.975693396384
156,13.114,0.975693396384
157,38.304,0.882851363076
158,9.019,0.99740218093
159,12.662,0.986669847101
160,21.981,0.945929454967
161,6.576,0.999755585961
162,10.576,0.998190415722
163,5.819,0.972464553592
164,6.995,0.999746279568
165,20.176,0.976217543478
166,48.447,0.898124534118
167,12.219,0.986669847101
168,18.357,0.976217543478
169,8.048,0.997801096085
170,12.933,0.986669847101
171,15.947,0.983936626253
172,16.19,0.983936626253
173,44.023,0.856419146758
174,10.776,0.998190415722
175,21.8,0.945929454967
176,8.648,0.976492831111
177,6.733,0.999755585961
178,10.867,0.998190415722
179,7.033,0.999673316231
180,40.009,0.882851363076
181,9.476,0.99740218093
182,8.262,0.997801096085
183,29.885,0.983222741112
184,9.786,0.99740218093
185,6.038,0.986128383247
186,34.362,0.878238871411
187,6.638,0.999755585961
188,34.876,0.878844507246
189,18.895,0.976217543478
190,6.386,0.997685009838
191,21.766,0.945929454967
192,7.69,0.997801096085
193,7.6,0.959350990361
194,13.576,0.975693396384
195,7.214,0.999673316231
196,8.467,0.948060035073
197,8.79,0.968110475785
198,21.057,0.922178759154
199,6.89,0.999746279568
200,6.286,0.950013518459
201,8.309,0.997801096085
202,5.695,0.972464553592
203,6.286,0.950013518459
204,11.447,0.995281662302
205,10.371,0.998190415722
206,6.486,0.999755585961
207,17.509,0.96346128221
208,6.843,0.999746279568
209,7.486,0.959350990361
210,39.842,0.882851363076
211,8.343,0.997801096085
212,7.062,0.999673316231
213,9.5,0.99740218093
214,12.352,0.986669847101
215,10.762,0.998190415722
216,9.967,0.998190415722
217,6.933,0.999746279568
218,8.057,0.997801096085
219,40.223,0.882851363076
220,30.933,0.932476136684
221,6.99,0.999746279568
222,36.014,0.90535839157
223,16.166,0.983936626253
224,5.809,0.972464553592
225,12.395,0.986669847101
226,44.914,0.856419146758
227,26.838,0.983222741112
228,17.528,0.96346128221
229,5.995,0.986128383247
230,22.552,0.983225788881
231,6.69,0.999755585961
232,11.019,0.998190415722
233,10.205,0.998190415722
234,20.981,0.922178759154
235,38.042,0.882851363076
236,6.624,0.999755585961
237,5.786,0.972464553592
238,45.985,0.899929566131
239,9.2,0.99740218093
240,26.176,0.969133413593
241,12.905,0.986669847101
242,6.319,0.997685009838
243,6.3,0.950013518459
244,8.795,0.968110475785
245,30.819,0.932476136684
246,11.205,0.998190415722
247,20.143,0.976217543478
248,23.066,0.983225788881
249,9.681,0.99740218093
250,22.595,0.983225788881
251,6.867,0.999746279568
252,38.366,0.882851363076
253,16.962,0.956168222988
254,6.19,0.986128383247
255,5.957,0.986128383247
256,7.519,0.959350990361
257,7.852,0.997801096085
258,5.69,0.972464553592
259,9.514,0.99740218093
260,7.733,0.997801096085
261,6.962,0.999746279568
262,9.367,0.99740218093
263,8.576,0.976492831111
264,6.333,0.997685009838
265,12.028,0.986669847101
266,19.624,0.976217543478
267,52.576,0.774385206489
268,95.923,0.3026992626
269,8.795,0.968110475785
270,5.838,0.986128383247
271,8.486,0.976492831111
272,37.661,0.882851363076
273,61.642,0.647085916201
274,9.271,0.99740218093
275,10.062,0.998190415722
276,21.476,0.945929454967
277,10.924,0.998190415722
278,6.0,0.986128383247
279,32.481,0.856501932245
280,9.271,0.99740218093
281,6.7,0.999755585961
282,63.371,0.622129980188
283,8.962,0.99740218093
284,34.514,0.878238871411
285,8.828,0.99740218093
286,27.957,0.983222741112
287,16.666,0.956168222988
288,10.99,0.998190415722
289,8.876,0.99740218093
290,9.262,0.99740218093
291,11.5,0.995281662302
292,9.367,0.99740218093
293,11.224,0.998190415722
294,49.466,0.898124534118
295,8.914,0.99740218093
296,11.671,0.995281662302
297,6.8,0.999714815578
298,17.643,0.96346128221
299,11.095,0.998190415722
300,77.071,0.485997683917
301,5.814,0.972464553592
302,25.124,0.969369803604
303,45.966,0.899929566131
304,7.138,0.999673316231
305,33.476,0.856501932245
306,54.095,0.712139618825
307,16.909,0.956168222988
308,13.843,0.975693396384
309,18.543,0.976217543478
310,16.666,0.956168222988
311,8.143,0.997801096085
312,106.408,0.104501629232
313,10.057,0.998190415722
314,46.804,0.899929566131
315,5.814,0.972464553592
316,9.762,0.99740218093
317,8.967,0.99740218093
318,29.771,0.983222741112
319,10.252,0.998190415722
320,10.128,0.998190415722
321,9.286,0.99740218093
322,7.643,0.959350990361
323,10.409,0.998190415722
324,6.333,0.997685009838
325,7.895,0.997801096085
326,6.371,0.997685009838
327,10.29,0.998190415722
328,5.814,0.972464553592
329,6.605,0.999755585961
330,13.633,0.975693396384
331,7.495,0.959350990361
332,7.952,0.997801096085
333,8.709,0.976492831111
334,34.462,0.878238871411
335,61.737,0.647085916201
336,15.581,0.983936626253
337,26.457,0.967847314117
338,42.557,0.868830916871
339,9.814,0.99740218093
340,7.067,0.999673316231
341,10.738,0.998190415722
