,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
0,0.0,0.0,0.0,0.0,0.0,1.695,4.352,0.0,1.124,0.0,0.0,0.0,10.9,14.071,3.571,2.3,2.481,1.357,0.0,0.0,0.6859999999999999,0.0,0.0,1.2329999999999999,0.0,0.0,0.0,0.9999999999984637
1,0.0,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,8.333,0.0,0.667,2.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,0.0,0.16699999999999998,0.999955555872884
2,0.0,1.19,0.0,0.0,0.8140000000000001,0.0,7.938,0.0,0.662,0.0,0.0,0.0,21.076,39.814,3.429,3.062,0.0,0.0,0.0,2.543,0.124,2.371,0.0,1.7,4.438,0.35700000000000004,0.0,0.9999999997785072
3,0.0,1.329,0.0,0.0,0.0,4.119,1.2,0.0,0.0,0.0,0.0,0.0,0.44799999999999995,8.024,0.0,0.0,0.0,0.9520000000000001,0.0,0.0,0.0,0.0,1.0859999999999999,0.8140000000000001,0.0,0.0,1.052,0.9999041194110025
4,0.0,0.0,0.0,0.0,0.0,0.0,17.276,0.629,0.0,0.0,0.0,0.31,15.1,37.004,0.0,1.51,2.9619999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.7519999999999998,0.0,1.7380000000000002,0.0,0.9999999997042277
5,0.581,0.0,0.0,0.21899999999999997,0.0,0.0,8.395,0.0,0.71,0.0,0.0,0.0,9.957,16.857,0.586,0.0,1.7519999999999998,0.0,0.33299999999999996,0.0,0.976,0.0,0.0,0.0,3.533,0.29,0.0,0.9999999999999118
6,0.0,2.481,0.89,0.0,1.229,0.0,3.3139999999999996,0.0,0.0,0.0,0.7240000000000001,0.0,2.481,8.962,0.0,0.0,2.052,2.01,0.0,0.0,0.0,0.0,0.0,2.967,1.781,3.9189999999999996,1.4809999999999999,0.9999999999998892
7,0.6759999999999999,4.438,0.0,0.0,1.062,0.18100000000000002,19.771,0.0,0.0,1.4380000000000002,0.0,0.0,23.351999999999997,53.771,4.405,0.8140000000000001,6.571000000000001,0.0,0.9670000000000001,0.0,0.9570000000000001,0.0,0.0,0.257,1.81,6.09,0.0,0.9999999999819713
8,0.0,0.0,1.819,0.44299999999999995,0.0,0.0,0.0,0.519,1.062,0.0,0.0,0.0,0.7140000000000001,9.062000000000001,1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45182281414585074
10,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.767,0.0,0.0,10.152000000000001,10.005,2.119,0.705,0.0,0.638,0.024,0.0,0.0,0.0,0.105,0.5479999999999999,0.0,2.205,0.0,0.9999999999663498
11,2.352,0.0,0.0,0.5379999999999999,1.9140000000000001,2.905,0.0,0.0,0.0,0.0,0.0,0.0,7.957000000000001,9.433,2.4859999999999998,0.0,1.3619999999999999,0.562,1.5190000000000001,0.0,0.0,1.248,0.0,1.0859999999999999,2.89,1.7480000000000002,0.0,0.9999999999999964
12,0.7859999999999999,2.395,0.0,0.0,0.0,0.552,0.0,0.0,0.0,0.652,1.367,0.0,3.3139999999999996,6.524,1.052,0.071,0.0,2.3480000000000003,0.0,0.99,1.643,0.0,0.0,0.0,0.557,0.4,5.657,0.9999999999934113
