run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,146.0,128.0,18.0,51,9
06_SPK3_naturalTest0_0.4CeO2.csv,140.0,124.0,16.0,44,10
07_SPK4_naturalTest0_4CeO2.csv,171.0,140.0,31.0,66,16
08_SPK5_naturalTest0_40CeO2.csv,569.0,322.0,247.0,163,64
09_SPK6_naturalTest0_400CeO2.csv,2472.0,920.0,1552.0,515,321
10_LT1_naturalSampleCeO2.csv,109.0,100.0,9.0,44,8
11_PS2_naturalSampleCeO2.csv,244.0,231.0,13.0,96,9
12_PS2_naturalSampleCeO2.csv,202.0,186.0,16.0,70,13
