run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,638.0,632.0,6.0,10,4
06_SPK3_naturalTest0_0.4CeO2.csv,656.0,647.0,9.0,10,5
07_SPK4_naturalTest0_4CeO2.csv,935.0,907.0,28.0,16,8
08_SPK5_naturalTest0_40CeO2.csv,1177.0,857.0,320.0,53,41
09_SPK6_naturalTest0_400CeO2.csv,3614.0,1427.0,2187.0,235,300
10_LT1_naturalSampleCeO2.csv,460.0,458.0,2.0,5,1
11_PS2_naturalSampleCeO2.csv,1009.0,1004.0,5.0,12,2
12_PS2_naturalSampleCeO2.csv,836.0,835.0,1.0,8,1
