run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,638.0,633.0,5.0,10,3
06_SPK3_naturalTest0_0.4CeO2.csv,656.0,646.0,10.0,21,7
07_SPK4_naturalTest0_4CeO2.csv,935.0,900.0,35.0,14,13
08_SPK5_naturalTest0_40CeO2.csv,1177.0,857.0,320.0,49,21
09_SPK6_naturalTest0_400CeO2.csv,3614.0,1395.0,2219.0,189,181
10_LT1_naturalSampleCeO2.csv,460.0,459.0,1.0,4,0
11_PS2_naturalSampleCeO2.csv,1009.0,1002.0,7.0,15,4
12_PS2_naturalSampleCeO2.csv,836.0,830.0,6.0,14,4
