run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,638.0,634.0,4.0,16,3
06_SPK3_naturalTest0_0.4CeO2.csv,656.0,647.0,9.0,19,5
07_SPK4_naturalTest0_4CeO2.csv,935.0,912.0,23.0,18,3
08_SPK5_naturalTest0_40CeO2.csv,1177.0,836.0,341.0,57,46
09_SPK6_naturalTest0_400CeO2.csv,3614.0,1402.0,2212.0,322,219
10_LT1_naturalSampleCeO2.csv,460.0,459.0,1.0,6,0
11_PS2_naturalSampleCeO2.csv,1009.0,1004.0,5.0,12,2
12_PS2_naturalSampleCeO2.csv,836.0,833.0,3.0,11,3
