run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,146.0,143.0,3.0,0,1
06_SPK3_naturalTest0_0.4CeO2.csv,140.0,133.0,7.0,3,1
07_SPK4_naturalTest0_4CeO2.csv,171.0,147.0,24.0,0,1
08_SPK5_naturalTest0_40CeO2.csv,569.0,234.0,335.0,5,2
09_SPK6_naturalTest0_400CeO2.csv,2472.0,260.0,2212.0,23,26
10_LT1_naturalSampleCeO2.csv,109.0,108.0,1.0,0,0
11_PS2_naturalSampleCeO2.csv,244.0,239.0,5.0,1,2
12_PS2_naturalSampleCeO2.csv,202.0,201.0,1.0,0,0
