run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,638.0,620.0,18.0,60,10
06_SPK3_naturalTest0_0.4CeO2.csv,656.0,640.0,16.0,50,13
07_SPK4_naturalTest0_4CeO2.csv,935.0,904.0,31.0,69,17
08_SPK5_naturalTest0_40CeO2.csv,1177.0,930.0,247.0,176,76
09_SPK6_naturalTest0_400CeO2.csv,3614.0,2062.0,1552.0,545,373
10_LT1_naturalSampleCeO2.csv,460.0,451.0,9.0,47,8
11_PS2_naturalSampleCeO2.csv,1009.0,996.0,13.0,107,11
12_PS2_naturalSampleCeO2.csv,836.0,820.0,16.0,84,14
