run_name,total_particle_count,nat_particle_count,tec_particle_count,nat_above_proba_thresh,tech_above_proba_thresh
05_SPK2_naturalTest0_0.04CeO2.csv,638.0,635.0,3.0,4,0
06_SPK3_naturalTest0_0.4CeO2.csv,656.0,647.0,9.0,1,4
07_SPK4_naturalTest0_4CeO2.csv,935.0,907.0,28.0,5,3
08_SPK5_naturalTest0_40CeO2.csv,1177.0,837.0,340.0,14,8
09_SPK6_naturalTest0_400CeO2.csv,3614.0,1364.0,2250.0,66,63
10_LT1_naturalSampleCeO2.csv,460.0,456.0,4.0,3,0
11_PS2_naturalSampleCeO2.csv,1009.0,1003.0,6.0,4,1
12_PS2_naturalSampleCeO2.csv,836.0,830.0,6.0,0,4
