,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
219,0.0,2.338,0.0,0.0,0.0,0.0,14.638,0.11900000000000001,0.5379999999999999,0.0,0.0,0.429,30.323,40.223,6.067,1.138,2.89,0.7190000000000001,0.0,0.0,0.0,1.524,0.0,1.814,8.895,3.4810000000000003,2.59,0.9999999999998144
220,2.2,0.0,0.0,0.0,0.0,0.0,6.124,0.0,0.0,2.6,0.0,0.0,32.147,30.933000000000003,2.3569999999999998,0.738,4.662,1.129,0.0,0.0,0.0,0.0,0.44799999999999995,0.0,2.557,1.39,0.0,0.9999999999982045
221,0.0,0.986,1.324,0.0,1.381,0.0,7.843,0.0,0.0,1.433,0.0,0.0,3.605,6.99,1.567,1.376,1.181,1.548,0.767,0.0,0.69,0.0,0.0,0.395,0.0,1.276,0.0,0.9999999999993958
223,0.867,0.0,0.0,0.0,1.171,0.0,6.067,0.0,0.0,0.0,0.0,0.0,9.1,16.166,3.4619999999999997,3.662,1.2429999999999999,0.0,0.0,0.0,2.467,1.895,0.848,0.0,0.805,2.5,0.0,0.9999999999999922
224,0.0,0.0,0.6809999999999999,0.0,0.0,1.443,1.581,0.848,0.0,0.0,0.0,0.0,0.0,5.809,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062,0.0,1.0,0.6809999999999999,0.9999999990795507
225,0.0,0.0,0.0,0.0,0.0,0.7190000000000001,2.9189999999999996,0.0,1.252,0.271,0.0,0.0,8.228,12.395,0.871,2.543,2.395,0.0,0.0,0.0,0.852,0.0,0.0,0.938,0.49,0.0,0.0,0.9999999999999196
226,2.29,0.843,1.319,0.0,0.0,0.0,8.167,0.467,1.171,0.43799999999999994,0.976,0.0,19.171,44.913999999999994,4.567,0.81,0.0,0.0,0.0,0.614,1.662,1.324,0.0,3.5239999999999996,13.305,0.36700000000000005,0.0,0.9999999995054396
227,0.7,0.005,0.595,1.329,0.0,0.0,0.16699999999999998,0.0,0.0,0.0,0.0,0.31,23.971,26.838,1.71,1.4809999999999999,2.7710000000000004,0.0,0.0,0.0,2.352,0.0,0.0,0.0,2.4330000000000003,1.176,0.0,0.9999998357541154
229,0.0,0.0,0.0,0.0,0.0,0.767,0.59,0.0,0.0,0.0,0.0,0.0,0.0,5.995,1.276,0.767,0.0,0.0,0.495,0.0,0.0,0.0,1.376,1.69,0.0,0.0,0.324,0.9999995886025903
230,2.01,5.8,0.0,0.0,0.0,0.33799999999999997,5.537999999999999,0.0,0.0,0.0,0.0,0.0,20.005,22.552,0.586,0.0,1.8519999999999999,0.752,0.9329999999999999,0.0,0.0,1.062,0.562,0.214,3.5,0.0,0.0,0.9999999999999769
231,0.0,0.0,1.129,0.0,0.0,0.0,0.79,1.124,0.7709999999999999,0.419,0.0,1.129,2.09,6.69,1.8519999999999999,0.0,1.49,0.652,0.0,0.0,0.0,0.41,0.0,0.4,2.909,0.748,0.252,0.9999999997221207
232,0.0,0.0,1.3330000000000002,1.729,0.0,0.0,1.29,0.0,0.0,1.5430000000000001,0.0,0.0,0.733,11.019,0.0,2.367,0.0,0.0,0.0,0.971,0.0,0.0,0.0,1.886,0.48100000000000004,0.614,1.357,0.999998562328701
233,0.0,0.0,0.19,0.0,0.0,0.0,3.838,0.0,0.0,0.0,0.486,0.0,2.6860000000000004,10.205,0.0,7.0520000000000005,0.0,0.0,0.0,1.933,0.0,0.0,0.19,0.419,0.0,0.614,0.0,0.9999999999995532
234,1.095,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.980999999999998,0.7140000000000001,0.0,0.852,0.5,0.0,0.0,0.0,0.0,0.0,1.819,0.0,0.6809999999999999,0.086,0.9913642351050008
235,0.495,1.081,0.0,0.0,0.0,1.29,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,15.3,38.042,4.962,3.4810000000000003,0.0,0.0,0.0,0.995,0.424,0.0,0.0,4.124,2.186,0.0,0.0,0.9999999864825175
236,0.938,0.5760000000000001,0.0,2.057,0.638,0.0,2.119,0.0,0.0,0.0,0.429,0.857,3.486,6.624,0.0,0.0,1.624,0.0,0.0,2.162,1.605,0.7,0.0,0.0,0.43799999999999994,0.0,0.0,0.9999999999995812
237,0.0,0.0,0.0,1.071,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.0,1.057,3.0,5.7860000000000005,0.0,0.0,0.0,0.0,0.805,0.0,0.529,0.0,1.014,0.0,0.0,0.0,0.0,0.9999987792345127
239,3.029,0.44299999999999995,0.0,2.6519999999999997,1.886,0.0,4.638,0.61,0.0,0.0,1.005,0.0,6.281000000000001,9.2,1.9140000000000001,1.171,0.0,0.0,0.0,0.0,1.681,1.962,2.105,0.0,0.0,0.138,0.733,0.999999999999911
242,2.167,0.624,0.0,0.0,0.0,1.138,1.795,0.9329999999999999,0.0,0.0,0.0,0.0,2.019,6.319,0.581,0.0,0.0,0.0,1.0759999999999998,0.0,0.0,1.3430000000000002,0.0,1.024,0.0,0.0,0.0,0.9999999999953864
243,1.729,0.0,0.0,0.7190000000000001,0.0,2.695,1.295,0.0,1.033,0.0,0.0,0.0,0.214,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.395,1.314,1.067,1.5,0.9999999999695455
244,0.0,0.733,0.99,0.0,0.0,0.0,5.329,0.0,0.0,0.59,0.0,1.662,6.309,8.795,0.0,2.1,0.762,0.0,0.0,0.752,0.0,0.848,0.0,0.0,0.0,2.9760000000000004,0.0,0.9999999999999509
245,2.3480000000000003,0.0,1.71,1.11,1.7619999999999998,0.0,6.0,0.0,0.0,0.0,0.0,1.276,18.433,30.819000000000003,5.557,5.529,0.614,2.333,1.048,0.0,0.529,0.0,0.0,3.819,2.262,0.9520000000000001,0.0,0.999999999999932
246,1.176,0.419,0.0,0.0,1.681,0.0,0.0,1.157,0.062,0.0,0.457,0.0,4.481,11.205,1.062,0.0,0.0,0.467,0.0,0.0,0.0,0.324,0.0,0.0,0.69,1.848,0.0,0.999999999998723
